school_id,school_name,district,block,total_enrolled_students,school_type,medium
SCH0353,Govt. Elementary School Parikh,Ferozepur,Ferozepur,212,Upper Primary,punjabi
SCH0177,Govt. Middle School Manne,Moga,Moga-II,294,Secondary,punjabi
SCH0370,Govt. Primary School Pant,Jalandhar,Jalandhar-II,148,upper primary,punjabi
SCH0061,Govt. Elementary School Dhawan,Ludhiana,Machhiwara,343,primary,punjabi
SCH0600,Govt. Primary School Sandhu,Amritsar,Ajnala,193,Secondary,English
SCH0102,Govt. Middle School Kakar,Ludhiana,Ludhiana-II,249,upper primary,punjabi
SCH0204,Govt. Middle School Singhal,Amritsar,Amritsar-II,89,Secondary,Hindi
SCH0589,Govt. Elementary School Sarraf,Patiala,Patiala,358,Primary,Punjabi
SCH0091,Govt. Middle School Soman,Moga,Nihal Singh Wala,210,Primary,punjabi
SCH0540,Govt. Elementary School Dugal,Patiala,Patiala,288,Primary,hindi
SCH0471,Govt. Elementary School Chad,Sangrur,,285,Upper Primary,Punjabi
SCH0568,Govt. Primary School Zachariah,Amritsar,,141,Higher Secondary,hindi
SCH0030,Govt. Elementary School Kar,Moga,Bagha Purana,144,Secondary,English
SCH0111,Govt. Middle School Butala,Bathinda,Maur,350,Upper Primary,Hindi
SCH0510,Govt. Middle School Kant,Bathinda,Talwandi Sabo,363,Upper Primary,hindi
SCH0213,Govt. Elementary School Bhatt,Bathinda,Maur,192,Upper Primary,English
SCH0545,Govt. Elementary School Prabhakar,Ferozepur,Ferozepur,432,Secondary,Hindi
SCH0323,Govt. Middle School Kapoor,Moga,Moga-I,295,Upper Primary,hindi
SCH0290,Govt. Primary School Mander,Jalandhar,Phillaur,187,Secondary,Punjabi
SCH0530,Govt. Middle School Kata,Patiala,Patiala,160,secondary,punjabi
SCH0463,Govt. Primary School Rajagopalan,Bathinda,Maur,277,Primary,hindi
SCH0453,Govt. Primary School Mahal,,Ludhiana-II,103,Higher Secondary,English
SCH0156,Govt. Elementary School Barad,Ferozepur,Zira,344,Primary,English
SCH0082,Govt. Elementary School Mistry,Amritsar,Tarn Taran,350,Upper Primary,punjabi
SCH0251,Govt. Middle School Choudhry,Bathinda,Talwandi Sabo,410,Higher Secondary,hindi
SCH0595,Govt. Primary School Char,Amritsar,Ajnala,208,Upper Primary,hindi
SCH0239,Govt. Middle School Butala,Ferozepur,Mamdot,159,primary,hindi
SCH0406,Govt. Senior Secondary School Bhattacharyya,Sangrur,Sunam,351,Secondary,punjabi
SCH0064,Govt. Senior Secondary School Nayar,Patiala,Patiala,439,Primary,Punjabi
SCH0272,Govt. Senior Secondary School Sarin,Ferozepur,Makhu,265,Upper Primary,Hindi
SCH0073,Govt. Senior Secondary School Shah,Moga,,345,Secondary,punjabi
SCH0257,Govt. Senior Secondary School Rai,Ferozepur,Ferozepur,231,Higher Secondary,Punjabi
SCH0555,Govt. Elementary School Mukhopadhyay,Jalandhar,Nakodar,297,upper primary,hindi
SCH0336,Govt. Middle School Sridhar,Sangrur,Malerkotla,277,primary,hindi
SCH0579,Govt. Primary School Puri,Bathinda,Talwandi Sabo,153,Upper Primary,punjabi
SCH0400,Govt. Senior Secondary School Sastry,Bathinda,Rampura Phul,273,Secondary,punjabi
SCH0261,Govt. Middle School Sen,Ludhiana,Ludhiana-II,340,Higher Secondary,Hindi
SCH0136,Govt. Middle School Banerjee,Ludhiana,,179,Secondary,Hindi
SCH0341,Govt. Elementary School Virk,Moga,Moga-I,61,Primary,punjabi
SCH0111,Govt. Middle School Butala,Bathinda,Maur,350,Upper Primary,Hindi
SCH0212,Govt. Senior Secondary School Sachar,Moga,Bagha Purana,386,Secondary,English
SCH0542,Govt. Primary School Balasubramanian,Sangrur,Sangrur,224,Higher Secondary,English
SCH0300,Govt. Middle School Chaudhary,Bathinda,Talwandi Sabo,232,Primary,English
SCH0481,Govt. Middle School Bhatti,Patiala,Samana,249,Upper Primary,hindi
SCH0007,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0105,Govt. Primary School Desai,Amritsar,Tarn Taran,125,primary,English
SCH0115,Govt. Primary School Sachdev,Ferozepur,Makhu,86,Primary,English
SCH0159,Govt. Senior Secondary School Gade,Ludhiana,Doraha,432,Higher Secondary,hindi
SCH0182,Govt. Middle School Hari,,Nihal Singh Wala,330,Upper Primary,Punjabi
SCH0532,Govt. Primary School Sahni,patiala,,295,Secondary,Hindi
SCH0365,Govt. Middle School Bhavsar,Amritsar,,99,Higher Secondary,hindi
SCH0178,Govt. Middle School Dyal,Amritsar,Tarn Taran,348,Upper Primary,English
SCH0594,Govt. Primary School Murthy,Bathinda,Rampura Phul,228,Primary,Hindi
SCH0200,Govt. Senior Secondary School Anne,Sangrur,Sangrur,86,Higher Secondary,Punjabi
SCH0422,Govt. Primary School Rajan,Bathinda,Maur,375,Secondary,punjabi
SCH0301,Govt. Elementary School Loke,Sangrur,Dhuri,207,Primary,English
SCH0409,Govt. Primary School Puri,Amritsar,,369,Secondary,Hindi
SCH0397,Govt. Elementary School Raghavan,Sangrur,Sangrur,106,Higher Secondary,Punjabi
SCH0287,Govt. Senior Secondary School Bhavsar,Ferozepur,Mamdot,340,Secondary,English
SCH0258,Govt. Primary School Kalita,Ludhiana,Ludhiana-I,247,higher secondary,Punjabi
SCH0260,Govt. Primary School Deol,Sangrur,Malerkotla,63,Secondary,English
SCH0056,Govt. Primary School Nagar,Sangrur,Sangrur,405,Secondary,Hindi
SCH0043,Govt. Middle School Sachar,Moga,,99,Secondary,hindi
SCH0074,Govt. Primary School Parmer,Sangrur,,393,Higher Secondary,Hindi
SCH0538,Govt. Middle School Wali,Ferozepur,Zira,308,Upper Primary,English
SCH0067,Govt. Senior Secondary School Dewan,Ludhiana,,334,Higher Secondary,Hindi
SCH0012,Govt. Elementary School Mand,Ludhiana,Ludhiana-I,118,Higher Secondary,punjabi
SCH0164,Govt. Senior Secondary School Barad,Amritsar,Ajnala,82,Secondary,Punjabi
SCH0444,Govt. Middle School Setty,Ferozepur,Ferozepur,237,secondary,hindi
SCH0211,Govt. Senior Secondary School Edwin,Patiala,Samana,379,Higher Secondary,hindi
SCH0333,Govt. Middle School Warrior,Amritsar,Amritsar-I,262,Upper Primary,punjabi
SCH0084,Govt. Primary School Wali,patiala,Samana,378,Upper Primary,punjabi
SCH0279,Govt. Senior Secondary School Narayan,,Nihal Singh Wala,94,Secondary,punjabi
SCH0449,Govt. Primary School Keer,Ferozepur,Mamdot,362,secondary,hindi
SCH0080,Govt. Elementary School Roy,Sangrur,Dhuri,214,Primary,Punjabi
SCH0024,Govt. Primary School Bhandari,Ferozepur,,182,Primary,hindi
SCH0288,Govt. Middle School Goyal,Amritsar,Amritsar-II,200,secondary,hindi
SCH0302,Govt. Middle School Sama,Amritsar,Tarn Taran,151,Upper Primary,English
SCH0281,Govt. Elementary School Agarwal,Amritsar,Amritsar-II,218,Higher Secondary,Punjabi
SCH0245,Govt. Senior Secondary School Sarkar,Ludhiana,Doraha,233,Primary,hindi
SCH0291,Govt. Elementary School Seth,Sangrur,Sunam,139,Higher Secondary,punjabi
SCH0330,Govt. Middle School Badami,,Moga-I,211,Higher Secondary,hindi
SCH0138,Govt. Primary School Gandhi,Moga,Moga-II,229,Secondary,Hindi
SCH0189,Govt. Elementary School Mitter,ferozepur,Mamdot,334,Secondary,hindi
SCH0166,Govt. Middle School Devi,Moga,Moga-II,54,Primary,Hindi
SCH0297,Govt. Middle School Narayanan,Ludhiana,Doraha,312,Upper Primary,English
SCH0010,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi
SCH0197,Govt. Elementary School Dada,Moga,Nihal Singh Wala,106,Primary,punjabi
SCH0232,Govt. Primary School Choudhary,Ludhiana,Machhiwara,170,Upper Primary,Punjabi
SCH0320,Govt. Middle School Dave,Amritsar,Amritsar-I,402,Primary,English
SCH0182,Govt. Middle School Hari,,Nihal Singh Wala,330,Upper Primary,Punjabi
SCH0266,Govt. Middle School Hora,Jalandhar,Phillaur,202,primary,English
SCH0085,Govt. Elementary School Bandi,,,189,Secondary,Hindi
SCH0175,Govt. Senior Secondary School Naik,Ludhiana,Doraha,198,Higher Secondary,Punjabi
SCH0548,Govt. Elementary School Yohannan,Patiala,Rajpura,432,Secondary,punjabi
SCH0219,Govt. Senior Secondary School Oommen,moga,Bagha Purana,370,Primary,Punjabi
SCH0317,Govt. Middle School Purohit,Ferozepur,,399,Upper Primary,Hindi
SCH0491,Govt. Primary School Raman,,Dhuri,334,Upper Primary,hindi
SCH0391,Govt. Senior Secondary School Lad,Jalandhar,Nakodar,89,Secondary,English
SCH0214,Govt. Elementary School Chahal,Bathinda,Rampura Phul,102,Higher Secondary,Hindi
SCH0154,Govt. Middle School Chakraborty,Ferozepur,,436,Primary,Punjabi
SCH0076,Govt. Primary School Oommen,Moga,Bagha Purana,399,Secondary,English
SCH0093,Govt. Elementary School Bora,ludhiana,Machhiwara,251,Secondary,Punjabi
SCH0431,Govt. Middle School Sarin,Bathinda,Rampura Phul,384,Upper Primary,English
SCH0069,Govt. Elementary School Mital,Moga,Moga-I,299,Primary,English
SCH0016,Govt. Senior Secondary School Varughese,Ludhiana,Ludhiana-I,225,Secondary,Punjabi
SCH0193,Govt. Primary School Parmer,Jalandhar,Jalandhar-II,127,Secondary,Punjabi
SCH0376,Govt. Elementary School Talwar,Moga,Moga-I,212,Secondary,Punjabi
SCH0089,Govt. Middle School Krishnamurthy,Amritsar,Amritsar-II,385,Primary,Hindi
SCH0519,Govt. Elementary School Palan,,Maur,195,Upper Primary,punjabi
SCH0118,Govt. Middle School Hari,Sangrur,Sangrur,89,Upper Primary,hindi
SCH0410,Govt. Primary School Bath,Ludhiana,,224,Secondary,Punjabi
SCH0435,Govt. Middle School Rama,Amritsar,Amritsar-II,420,Higher Secondary,Punjabi
SCH0034,Govt. Senior Secondary School Kumar,Bathinda,Bathinda,94,Upper Primary,Hindi
SCH0001,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,upper primary,hindi
SCH0119,Govt. Middle School Sur,Ferozepur,,252,Higher Secondary,English
SCH0554,Govt. Primary School Din,Patiala,Patiala,364,higher secondary,hindi
SCH0370,Govt. Primary School Pant,Jalandhar,Jalandhar-II,148,upper primary,punjabi
SCH0356,Govt. Middle School Brahmbhatt,Patiala,Patiala,294,Primary,Punjabi
SCH0454,Govt. Senior Secondary School Bala,Patiala,Rajpura,370,Upper Primary,English
SCH0552,Govt. Primary School Bhavsar,Patiala,Patiala,410,Higher Secondary,English
SCH0023,Govt. Senior Secondary School Bumb,Ludhiana,Machhiwara,412,Primary,Hindi
SCH0473,Govt. Middle School Nori,Jalandhar,Phillaur,346,Primary,Hindi
SCH0117,Govt. Primary School Reddy,Amritsar,Tarn Taran,398,higher secondary,English
SCH0090,Govt. Elementary School Pingle,Sangrur,Dhuri,182,Higher Secondary,punjabi
SCH0183,Govt. Primary School Narain,Jalandhar,,243,Secondary,Hindi
SCH0496,Govt. Middle School Hayre,Amritsar,Amritsar-II,283,Upper Primary,Hindi
SCH0412,Govt. Elementary School Anand,Amritsar,Ajnala,215,Higher Secondary,punjabi
SCH0019,Govt. Senior Secondary School Venkatesh,Sangrur,Dhuri,101,Primary,Punjabi
SCH0429,Govt. Elementary School Narain,Ferozepur,Zira,180,Secondary,Hindi
SCH0536,Govt. Middle School Chandran,Jalandhar,Jalandhar-I,311,Secondary,hindi
SCH0145,Govt. Elementary School Kashyap,Sangrur,Malerkotla,85,Primary,punjabi
SCH0303,Govt. Elementary School Bava,Jalandhar,,443,primary,Hindi
SCH0566,Govt. Primary School Ramachandran,Amritsar,Tarn Taran,378,Secondary,punjabi
SCH0558,Govt. Senior Secondary School Morar,Patiala,Rajpura,242,Upper Primary,English
SCH0426,Govt. Elementary School Andra,Ferozepur,Ferozepur,364,Primary,hindi
SCH0273,Govt. Senior Secondary School Parikh,Ferozepur,Makhu,189,Higher Secondary,English
SCH0262,Govt. Primary School Mital,Ferozepur,Makhu,236,Upper Primary,English
SCH0363,Govt. Elementary School Sankar,Bathinda,Rampura Phul,192,Primary,English
SCH0430,Govt. Senior Secondary School Dutt,Ferozepur,Makhu,399,Secondary,hindi
SCH0168,Govt. Elementary School Narayan,Amritsar,Amritsar-I,171,Upper Primary,English
SCH0055,Govt. Elementary School Sem,Sangrur,Malerkotla,424,Secondary,English
SCH0442,Govt. Middle School Karpe,Ferozepur,Mamdot,87,Upper Primary,Hindi
SCH0047,Govt. Senior Secondary School Karpe,Jalandhar,Jalandhar-II,255,Higher Secondary,English
SCH0094,Govt. Elementary School Pingle,Patiala,Samana,321,Secondary,hindi
SCH0305,Govt. Senior Secondary School Mane,Jalandhar,,87,secondary,English
SCH0109,Govt. Elementary School Pradhan,Ferozepur,Makhu,273,Upper Primary,punjabi
SCH0293,Govt. Primary School Wadhwa,Jalandhar,Phillaur,329,Higher Secondary,English
SCH0196,Govt. Senior Secondary School Kara,Ludhiana,Ludhiana-II,265,Higher Secondary,English
SCH0213,Govt. Elementary School Bhatt,Bathinda,Maur,192,Upper Primary,English
SCH0514,Govt. Primary School Mahal,Amritsar,Amritsar-I,72,Higher Secondary,hindi
SCH0468,Govt. Middle School Mishra,Bathinda,Talwandi Sabo,154,Secondary,punjabi
SCH0371,Govt. Elementary School Baral,Patiala,Nabha,344,primary,English
SCH0408,Govt. Primary School Salvi,Ludhiana,Ludhiana-I,96,higher secondary,Punjabi
SCH0008,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,hindi
SCH0413,Govt. Primary School Bhatnagar,Sangrur,Dhuri,372,upper primary,Hindi
SCH0424,Govt. Elementary School Baral,Bathinda,Rampura Phul,399,Upper Primary,hindi
SCH0285,Govt. Primary School Chaudhry,Ferozepur,Ferozepur,400,Secondary,hindi
SCH0276,Govt. Elementary School Naik,Sangrur,Sunam,364,Secondary,Punjabi
SCH0582,Govt. Primary School Tiwari,,Rajpura,416,Higher Secondary,punjabi
SCH0070,Govt. Elementary School Nair,Sangrur,Sunam,262,Secondary,hindi
SCH0265,Govt. Primary School Bhat,Ferozepur,Ferozepur,435,Upper Primary,punjabi
SCH0433,Govt. Senior Secondary School Hayre,Amritsar,Amritsar-I,235,Primary,English
SCH0299,Govt. Elementary School Sane,Patiala,Nabha,404,Upper Primary,hindi
SCH0250,Govt. Senior Secondary School Lad,Bathinda,Talwandi Sabo,191,Secondary,English
SCH0573,Govt. Middle School Thakkar,Patiala,Nabha,337,Upper Primary,hindi
SCH0275,Govt. Primary School Chandran,Ludhiana,Machhiwara,402,Secondary,punjabi
SCH0150,Govt. Primary School Parikh,ludhiana,Doraha,299,Higher Secondary,English
SCH0125,Govt. Primary School Srivastava,Moga,Moga-I,129,Upper Primary,punjabi
SCH0470,Govt. Elementary School Handa,Jalandhar,Nakodar,348,Primary,Punjabi
SCH0531,Govt. Senior Secondary School Acharya,Patiala,Patiala,61,Higher Secondary,Punjabi
SCH0186,Govt. Senior Secondary School Pillay,Moga,Moga-I,321,Secondary,hindi
SCH0334,Govt. Senior Secondary School Gole,Moga,Bagha Purana,271,Primary,hindi
SCH0313,Govt. Senior Secondary School Behl,Patiala,Nabha,422,Primary,Punjabi
SCH0478,Govt. Elementary School Padmanabhan,Ferozepur,Makhu,62,Higher Secondary,punjabi
SCH0311,Govt. Elementary School Sarkar,Amritsar,Amritsar-II,425,Higher Secondary,Hindi
SCH0350,Govt. Primary School Mann,Jalandhar,,292,Upper Primary,hindi
SCH0032,Govt. Senior Secondary School Narang,Bathinda,Maur,218,Upper Primary,hindi
SCH0587,Govt. Senior Secondary School Verma,Jalandhar,Phillaur,321,Upper Primary,Hindi
SCH0507,Govt. Middle School Gola,Ludhiana,Ludhiana-II,170,Primary,English
SCH0569,Govt. Middle School Gill,Bathinda,Rampura Phul,290,upper primary,English
SCH0487,Govt. Senior Secondary School Keer,Bathinda,Bathinda,436,Higher Secondary,hindi
SCH0142,Govt. Senior Secondary School Badami,Bathinda,Rampura Phul,207,Higher Secondary,hindi
SCH0020,Govt. Primary School Soman,amritsar,Amritsar-I,157,Primary,English
SCH0173,Govt. Senior Secondary School Johal,Moga,Moga-II,62,Secondary,punjabi
SCH0484,Govt. Elementary School Hayre,Jalandhar,Jalandhar-I,422,upper primary,hindi
SCH0483,Govt. Middle School Varkey,Sangrur,Sunam,229,Higher Secondary,punjabi
SCH0026,Govt. Elementary School Narayan,,Ludhiana-II,234,Higher Secondary,hindi
SCH0447,Govt. Middle School Dash,Ferozepur,,422,Primary,Punjabi
SCH0590,Govt. Elementary School Khare,Sangrur,,151,Higher Secondary,hindi
SCH0285,Govt. Primary School Chaudhry,Ferozepur,Ferozepur,400,Secondary,hindi
SCH0319,Govt. Primary School Bassi,Ludhiana,Ludhiana-II,84,Primary,Hindi
SCH0246,Govt. Primary School Chaudhari,Patiala,Rajpura,146,Secondary,Hindi
SCH0339,Govt. Elementary School Zacharia,jalandhar,Jalandhar-I,46,upper primary,Punjabi
SCH0155,Govt. Senior Secondary School Chander,Ferozepur,Makhu,169,Upper Primary,English
SCH0127,Govt. Elementary School Palla,Bathinda,Talwandi Sabo,369,Primary,Punjabi
SCH0368,Govt. Elementary School Raman,ferozepur,Zira,323,Higher Secondary,punjabi
SCH0114,Govt. Primary School Randhawa,Sangrur,Malerkotla,422,Primary,Hindi
SCH0174,Govt. Senior Secondary School Lanka,sangrur,,109,higher secondary,Hindi
SCH0058,Govt. Elementary School Savant,Ferozepur,Mamdot,434,Primary,English
SCH0345,Govt. Elementary School Mangal,Ludhiana,Machhiwara,440,Higher Secondary,hindi
SCH0223,Govt. Senior Secondary School Mallick,Bathinda,Maur,47,Secondary,punjabi
SCH0018,Govt. Elementary School Palla,Bathinda,Talwandi Sabo,148,Upper Primary,English
SCH0321,Govt. Primary School Nayak,Jalandhar,Nakodar,104,Secondary,Punjabi
SCH0256,Govt. Middle School Chaudhry,Jalandhar,Jalandhar-I,89,Upper Primary,English
SCH0328,Govt. Senior Secondary School Sarraf,Sangrur,Sangrur,228,Secondary,hindi
SCH0592,Govt. Primary School Ray,Ludhiana,,56,Secondary,punjabi
SCH0191,Govt. Senior Secondary School Bera,Amritsar,Amritsar-II,195,Secondary,hindi
SCH0342,Govt. Senior Secondary School Kashyap,Sangrur,Sangrur,235,Upper Primary,punjabi
SCH0544,Govt. Senior Secondary School Khalsa,Ferozepur,Zira,138,Upper Primary,hindi
SCH0292,Govt. Middle School Deo,Sangrur,Sunam,82,Upper Primary,English
SCH0095,Govt. Primary School Kanda,Patiala,Nabha,199,higher secondary,Punjabi
SCH0181,Govt. Primary School Lala,Ludhiana,Ludhiana-II,351,higher secondary,English
SCH0396,Govt. Senior Secondary School Deshmukh,Moga,Moga-I,42,Upper Primary,Hindi
SCH0355,Govt. Primary School Tripathi,,Jalandhar-II,413,Higher Secondary,English
SCH0551,Govt. Middle School Tara,Moga,,110,Upper Primary,punjabi
SCH0335,Govt. Primary School Kota,Amritsar,Amritsar-II,94,Higher Secondary,Hindi
SCH0006,Govt. Primary School Bahri,moga,Moga-II,400,Upper Primary,Punjabi
SCH0046,Govt. Elementary School Mody,Moga,Bagha Purana,379,Secondary,English
SCH0575,Govt. Middle School Nair,Ludhiana,Doraha,251,Secondary,Hindi
SCH0417,Govt. Elementary School Ahuja,Amritsar,Tarn Taran,378,Higher Secondary,hindi
SCH0526,Govt. Elementary School Raman,Ludhiana,,81,upper primary,punjabi
SCH0017,Govt. Elementary School Pandit,Amritsar,Tarn Taran,75,upper primary,Hindi
SCH0049,Govt. Middle School Purohit,Patiala,Rajpura,446,Upper Primary,hindi
SCH0598,Govt. Primary School Warrior,Bathinda,Maur,40,Higher Secondary,Hindi
SCH0564,Govt. Primary School Nair,Bathinda,Talwandi Sabo,358,Upper Primary,hindi
SCH0004,Govt. Elementary School Kaur,Bathinda,,150,secondary,English
SCH0350,Govt. Primary School Mann,Jalandhar,,292,Upper Primary,hindi
SCH0556,Govt. Middle School Dar,Amritsar,,261,higher secondary,hindi
SCH0470,Govt. Elementary School Handa,Jalandhar,Nakodar,348,Primary,Punjabi
SCH0389,Govt. Primary School Borra,Ludhiana,Machhiwara,191,Higher Secondary,hindi
SCH0465,Govt. Senior Secondary School Banerjee,patiala,Rajpura,158,Secondary,English
SCH0395,Govt. Elementary School Bose,Sangrur,Sunam,201,Upper Primary,Hindi
SCH0226,Govt. Primary School Upadhyay,Ludhiana,Doraha,374,upper primary,Hindi
SCH0027,Govt. Primary School Lal,Sangrur,Sunam,137,Primary,Punjabi
SCH0584,Govt. Senior Secondary School Sahota,Jalandhar,Phillaur,370,Primary,English
SCH0264,Govt. Elementary School Ghosh,Ludhiana,Doraha,441,Higher Secondary,hindi
SCH0051,Govt. Senior Secondary School Sarkar,Patiala,Rajpura,352,Primary,punjabi
SCH0230,Govt. Senior Secondary School Badal,Patiala,Nabha,124,higher secondary,punjabi
SCH0038,Govt. Senior Secondary School Mandal,Ferozepur,Zira,61,Primary,Punjabi
SCH0158,Govt. Middle School Tella,Moga,Nihal Singh Wala,138,Upper Primary,Punjabi
SCH0238,Govt. Primary School Amble,Patiala,Nabha,74,Primary,Punjabi
