record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by
ATT0014093,29-May-2025,SCH-0253,3,267,213,1,
ATT0010139,2025-10-08,SCH-0534,1,126,80,True,Headmaster
ATT0016398,2026-01-13,SCH0537,7,258,178,haan,HM
ATT0010481,2025-05-07,SCH-0363,IV,86,70,Haan,Clerk
ATT0007137,15.05.2025,S0414,7,95,87,True,
,2026-02-24,SCH0012,6,112,84,True,Class Teacher
ATT0012018,2025-08-13,SCH0265,III,202,157,haan,Headmaster
ATT0019081,2025-09-08,SCH0309,III,246,181,H,Admin
ATT0016530,22.04.2025,SCH0166,9,217,179,True,HM
ATT0012828,18-Feb-2026,SCH0385,7,182,128,False,
ATT0014175,15-Jun-2025,SCH-0213,IV,196,185,Working,Headmaster
ATT0005035,07-22-2025,SCH0099,2,174,145,Y,Clerk
ATT0005655,21/07/2025,SCH0289,2,183,146,Available,Clerk
ATT0014219,2025-07-04,SCH-0397,3,186,153,Working,HM
ATT0018689,23/10/2025,SCH0213,II,190,157,,Admin
ATT0011622,18/03/2026,SCH-0205,6,134,89,Yes,
ATT0018888,09/04/2025,sch_0298,V,154,140,True,Class Teacher
ATT0010713,2025/08/17,SCH0235,V,299,315,True,Class Teacher
ATT0017567,2026-01-24,SCH0059,4,267,231,True,
ATT0007223,2025/10/29,SCH0381,8,63,55,1,Class Teacher
ATT0003740,08-25-2025,SCH0131,1,161,109,1,Class Teacher
ATT0002196,2026/02/25,SCH-0470,V,153,153,1,Class Teacher
ATT0008740,2026-01-01,sch0596,II,160,131,Y,
ATT0012217,16/04/2025,SCH-0132,IV,51,45,Haan,Class Teacher
ATT0014927,13-May-2025,S0593,1,77,65,haan,HM
ATT0014708,03-07-2026,sch_0371,IV,110,69,Haan,Clerk
ATT0009416,2025-11-08,SCH0345,9,266,260,True,HM
ATT0006308,07-08-2025,SCH0148,I,197,179,,Admin
ATT0013099,09-Oct-2025,SCH0194,8,129,122,True,
ATT0019041,15.04.2025,S0210,2,89,65,Available,Headmaster
ATT0018193,02-24-2026,sch0486,7,84,69,False,Clerk
ATT0001088,16.05.2025,SCH-0038,6,115,80,True,Clerk
ATT0013698,07/08/2025,sch0061,II,143,126,False,Admin
ATT0019226,19-Mar-2026,SCH-0507,6,252,153,True,Clerk
ATT0005763,2025-06-13,SCH-0535,IV,139,124,True,HM
ATT0008627,20/11/2025,sch_0042,3,236,162,True,Admin
ATT0016608,06-16-2025,SCH-0539,4,270,163,True,HM
ATT0016748,2025-05-13,0550,8,257,249,H,Headmaster
ATT0014371,01-14-2026,SCH-0351,7,293,198,True,HM
ATT0006789,2025-05-21,SCH0537,10,238,196,Hai,HM
ATT0019295,2026/02/19,SCH0256,3,76,73,1,Clerk
ATT0015631,26.02.2026,sch0527,6,250,201,True,
ATT0003352,24.06.2025,sch_0558,4,177,109,True,Clerk
ATT0013112,27-Mar-2026,SCH0014,4,184,122,Hai,Clerk
ATT0000342,2026-03-23,S0024,IV,233,204,Hai,Class Teacher
ATT0002381,06/12/2025,SCH0012,1,78,47,1,Clerk
ATT0014806,07-Apr-2025,SCH0437,9,114,72,Yes,HM
ATT0014906,08.02.2026,SCH-0488,I,174,168,Y,Admin
ATT0017596,23-Jun-2025,SCH0317,2,259,250,Yes,Admin
ATT0008727,24.02.2026,S0024,7,138,86,False,
ATT0016450,22/03/2026,sch0596,3,236,236,haan,Class Teacher
ATT0002306,11/10/2025,SCH0271,III,45,41,False,HM
ATT0012052,02-06-2026,SCH0367,4,289,188,1,Class Teacher
ATT0003480,05-20-2025,S0295,III,147,97,True,Clerk
ATT0009137,17/02/2026,SCH0139,1,173,152,Nahi hai,Clerk
ATT0007525,13-Dec-2025,SCH0206,9,261,188,True,
ATT0010353,2025-06-12,SCH0289,3,131,82,True,
ATT0012107,2025/04/13,sch_0172,I,214,214,Yes,Class Teacher
ATT0015379,2025/05/12,0246,4,84,80,True,Admin
ATT0019606,2025/08/05,SCH0392,10,55,42,True,
ATT0016832,2025/11/18,sch0031,10,61,40,Haan,Clerk
ATT0013190,19.09.2025,SCH-0450,I,156,156,True,Clerk
ATT0003799,11.01.2026,SCH0225,I,92,104,1,Clerk
ATT0015816,04-May-2025,0380,8,187,187,True,Class Teacher
ATT0019080,2025/07/23,S0107,5,190,179,True,Headmaster
ATT0016929,09.09.2025,SCH-0038,III,279,227,True,Clerk
ATT0003669,2025-11-24,SCH0048,5,299,244,Hai,Headmaster
ATT0018433,2025-09-08,SCH0452,4,134,93,True,HM
ATT0006326,21.11.2025,0366,3,63,58,haan,HM
ATT0013584,11-30-2025,SCH0068,IV,64,64,Available,
ATT0000134,2026/02/26,sch_0036,5,83,50,H,Headmaster
ATT0013830,02-07-2026,SCH0124,V,197,152,False,Headmaster
ATT0013856,21.04.2025,sch_0448,8,177,138,,HM
ATT0003779,25.04.2025,S0040,II,129,91,Kharab,Class Teacher
ATT0000386,16/04/2025,S0105,2,132,119,Y,Headmaster
ATT0012462,08-12-2025,sch0032,6,183,143,No,
ATT0011447,2025-05-09,SCH0097,IV,46,38,haan,Admin
ATT0002172,2025-07-14,SCH0004,2,298,229,,Headmaster
ATT0019703,11/08/2025,SCH0141,II,248,200,True,Admin
ATT0015261,09-21-2025,sch_0048,II,166,166,,HM
ATT0005663,28/07/2025,SCH0328,10,60,44,True,Clerk
ATT0001356,27-Jun-2025,SCH0523,3,60,39,haan,Headmaster
ATT0002086,11-22-2025,sch0334,5,240,233,True,
ATT0019163,27.09.2025,SCH-0008,3,196,189,True,Clerk
ATT0010361,21/08/2025,SCH0180,7,188,134,True,
ATT0011548,2025-07-04,0155,III,271,224,Hai,Clerk
ATT0002387,12.05.2025,0412,1,203,141,True,Admin
ATT0012785,2025-04-26,0193,10,156,114,True,Admin
ATT0000475,14/11/2025,SCH0377,III,292,204,False,Class Teacher
ATT0003435,2025-12-26,SCH-0067,8,63,57,True,Admin
ATT0005306,2025-04-04,SCH0249,5,256,205,Haan,Class Teacher
ATT0008088,12/05/2025,SCH0552,5,198,175,1,Headmaster
ATT0004843,2025-06-06,SCH0075,7,143,99,H,HM
ATT0013436,16/02/2026,0329,10,70,53,Haan,HM
ATT0007882,21/11/2025,SCH0136,6,137,145,haan,HM
ATT0006291,04-Nov-2025,SCH0361,2,228,164,Haan,Admin
ATT0012561,2026/02/16,SCH-0128,3,106,106,Y,Class Teacher
ATT0002504,11.02.2026,SCH-0092,IV,209,165,False,Class Teacher
ATT0007290,02/10/2025,SCH0271,1,185,145,haan,HM
ATT0015715,2025/12/24,SCH0348,III,67,52,Haan,Headmaster
ATT0016429,02-Nov-2025,sch0488,6,41,41,True,Class Teacher
ATT0000745,05-31-2025,SCH0584,8,166,112,True,
ATT0017944,16.03.2026,S0372,8,239,188,True,HM
ATT0017881,2025-06-02,SCH0493,V,240,208,True,Headmaster
ATT0015453,2025-06-30,SCH0202,9,56,69,True,Clerk
ATT0010552,18/10/2025,S0382,III,290,252,True,Clerk
ATT0019746,16-Nov-2025,0597,10,119,119,True,Headmaster
ATT0002326,19-Nov-2025,SCH0168,I,132,127,True,Clerk
ATT0009961,2026/03/11,S0118,8,155,105,False,Clerk
ATT0018383,2025/08/30,SCH0532,V,205,192,True,HM
ATT0016506,2025-09-20,S0469,9,46,31,Yes,HM
ATT0012139,2026-01-25,SCH-0417,V,160,176,H,Headmaster
ATT0016665,21.04.2025,sch_0575,IV,169,114,Haan,Admin
ATT0017392,06/04/2025,SCH0303,2,270,270,,Class Teacher
ATT0001167,01-Nov-2025,sch0540,3,244,178,True,HM
ATT0009962,23.07.2025,SCH-0082,5,277,177,H,Class Teacher
ATT0006135,13/08/2025,SCH0389,10,162,155,Haan,Clerk
ATT0009816,06-Feb-2026,SCH0032,I,239,146,True,Admin
ATT0005672,03-21-2026,SCH0012,V,182,151,True,HM
ATT0006798,14/08/2025,sch_0549,2,121,79,Hai,
ATT0007859,2026/01/17,S0362,7,192,149,False,Class Teacher
ATT0011552,07.04.2025,S0102,6,144,117,True,Class Teacher
ATT0018220,2025-07-05,SCH0217,3,49,32,Working,Class Teacher
ATT0007537,02-28-2026,SCH0464,IV,115,101,Yes,Headmaster
ATT0017089,04-12-2025,S0133,8,136,122,False,Class Teacher
ATT0008467,27/04/2025,sch_0297,8,299,232,No,Clerk
ATT0017746,03-28-2026,SCH0083,V,287,205,Functional,Class Teacher
ATT0011454,10-14-2025,sch0547,1,261,252,No,Clerk
ATT0004950,23/06/2025,SCH0486,V,70,57,True,Headmaster
ATT0013625,28-Dec-2025,SCH0344,1,225,165,Available,Clerk
ATT0019973,2025-04-17,sch_0292,1,161,139,True,Class Teacher
ATT0012615,2025/10/21,SCH0318,8,258,157,True,Headmaster
ATT0004439,31/03/2026,SCH0532,V,135,120,False,Clerk
ATT0006632,2025/10/28,SCH0136,6,161,126,Y,Class Teacher
ATT0002752,07.10.2025,SCH-0234,2,221,174,False,Class Teacher
ATT0016471,10-15-2025,SCH-0235,I,297,267,True,Clerk
ATT0006557,11/08/2025,S0538,3,142,159,Yes,Class Teacher
,23-Mar-2026,SCH0565,9,138,115,1,Clerk
ATT0016793,08-Aug-2025,SCH-0019,8,135,99,Haan,HM
ATT0005422,27/12/2025,SCH0255,4,161,145,True,Class Teacher
ATT0011991,2025-08-23,sch0309,7,69,65,Haan,
ATT0000564,29.04.2025,SCH0441,II,166,166,True,Admin
,12-Jun-2025,sch_0231,3,128,139,True,Clerk
ATT0009691,07-29-2025,SCH0283,I,57,41,,HM
ATT0018752,04/05/2025,SCH0079,V,155,155,True,Headmaster
ATT0013496,10-05-2025,SCH0076,5,59,59,Yes,Admin
ATT0004220,20.04.2025,sch0458,III,131,131,True,Class Teacher
,04-Aug-2025,sch_0406,I,273,214,True,HM
ATT0006358,13-Oct-2025,SCH0333,II,221,214,Yes,Admin
ATT0004548,02.04.2025,SCH0162,1,293,278,1,
,09-Jul-2025,S0322,8,202,202,Hai,Clerk
ATT0002938,2025-08-13,sch_0575,5,204,156,Nahi hai,Clerk
ATT0016043,16/10/2025,SCH0463,9,255,165,haan,Admin
ATT0009359,2026-03-25,SCH0284,4,257,229,False,Admin
ATT0013079,20/06/2025,SCH0210,I,54,40,False,
ATT0015003,2026-01-01,0120,II,196,176,True,Headmaster
ATT0019801,20-Oct-2025,SCH0550,8,196,165,Hai,Admin
ATT0005377,11-Apr-2025,SCH0303,2,76,53,Y,HM
ATT0005478,08.02.2026,SCH0305,I,209,225,Y,Headmaster
ATT0019212,29.11.2025,SCH-0145,10,246,246,True,Clerk
ATT0017465,2025-07-10,sch_0034,V,227,196,Y,HM
ATT0003949,10-16-2025,SCH0298,III,236,218,True,Headmaster
ATT0008542,2025/09/29,S0161,II,137,101,,Clerk
ATT0008118,2025-06-12,0028,II,300,225,True,Headmaster
ATT0000777,11/01/2026,SCH-0167,V,209,151,True,Class Teacher
ATT0016135,27.07.2025,sch_0580,7,51,51,Y,Headmaster
ATT0004731,04.07.2025,SCH-0574,4,98,72,Yes,Headmaster
ATT0006219,08-13-2025,SCH0192,IV,203,125,True,Admin
ATT0015102,05-30-2025,SCH-0093,V,212,157,Functional,Class Teacher
ATT0003001,11-16-2025,SCH0533,8,168,168,haan,Admin
ATT0005863,01-26-2026,sch0014,V,77,49,True,Admin
ATT0018506,22/03/2026,SCH0548,3,125,102,0,Class Teacher
ATT0009615,04-04-2025,SCH-0391,7,112,68,False,
ATT0013003,03/05/2025,sch_0316,III,45,42,No,
ATT0011128,2025-08-19,SCH0445,8,106,74,,Headmaster
ATT0002120,2025-12-02,SCH0191,V,90,90,Available,Class Teacher
ATT0017627,08-22-2025,sch_0475,V,252,191,True,
ATT0016319,07-Jun-2025,SCH-0061,IV,119,99,Y,Clerk
ATT0002754,21.04.2025,S0106,IV,237,155,True,Class Teacher
ATT0016898,09.05.2025,0106,III,51,37,H,
ATT0004521,30/08/2025,SCH-0490,2,95,76,True,
ATT0002458,06.11.2025,SCH0060,9,93,74,True,Clerk
ATT0013853,2025/12/29,SCH0382,I,180,126,Nahi hai,Clerk
ATT0008482,2025-06-04,sch_0071,8,108,80,True,Clerk
ATT0012100,03/10/2025,SCH0423,7,127,91,No,Admin
ATT0011960,23/10/2025,SCH0438,7,212,133,True,Clerk
ATT0008070,2025-05-05,SCH0299,4,159,102,Functional,Clerk
ATT0007257,08.04.2025,sch_0076,7,268,222,True,Headmaster
ATT0009490,06-25-2025,SCH0397,II,229,240,H,Admin
ATT0014936,02.07.2025,SCH0148,4,228,219,True,Class Teacher
ATT0014130,06-27-2025,SCH0168,V,66,63,haan,Admin
ATT0018191,2025-04-19,SCH0157,6,79,79,haan,Headmaster
ATT0016328,07/07/2025,0085,IV,93,69,na,HM
ATT0015663,2026-03-19,sch0041,5,186,145,True,Admin
ATT0015364,13.12.2025,0308,7,276,213,Functional,Headmaster
ATT0013039,06-12-2025,SCH-0571,4,225,158,True,Clerk
ATT0003283,01-Nov-2025,SCH0068,8,91,64,Nahi hai,Clerk
ATT0012182,2026-03-22,SCH-0470,I,68,68,True,Admin
ATT0004983,2025-07-20,sch0263,IV,89,76,True,HM
ATT0009503,2025/06/17,SCH-0141,5,205,198,,Class Teacher
ATT0003406,04/03/2026,SCH-0042,I,240,225,H,Clerk
ATT0003959,2026/03/10,sch0461,III,74,57,H,Class Teacher
ATT0017342,10-15-2025,SCH0403,4,102,111,Broken,Clerk
ATT0009179,06-27-2025,sch0466,5,272,230,H,Admin
ATT0002268,2025-09-19,SCH0139,7,45,28,True,Clerk
ATT0013127,06.06.2025,SCH0287,3,224,192,True,Admin
ATT0013335,14/04/2025,SCH-0092,II,219,138,True,
ATT0014774,11/10/2025,sch_0355,6,42,36,1,Clerk
ATT0010369,05-31-2025,sch_0206,10,122,98,True,HM
ATT0007224,10/05/2025,SCH-0239,III,268,242,True,
ATT0018308,09-23-2025,S0188,1,246,150,1,
,20-Oct-2025,SCH0332,2,195,189,,Admin
ATT0018556,28-Mar-2026,SCH0053,I,108,89,,HM
ATT0002486,2025-12-29,SCH0120,4,215,171,1,Admin
ATT0017100,24.08.2025,SCH0163,V,216,184,Haan,Class Teacher
ATT0016223,30.12.2025,sch_0289,5,131,82,True,Headmaster
ATT0004881,2025/07/12,sch0208,5,185,147,True,HM
ATT0016299,07-Jul-2025,SCH0473,5,171,144,Yes,Clerk
ATT0011867,03-19-2026,SCH0124,2,93,72,,Clerk
ATT0007276,09/12/2025,SCH0007,III,138,90,Haan,Clerk
ATT0014291,07-04-2025,sch_0001,1,202,158,True,Admin
ATT0014519,2025/05/04,0475,7,218,218,Yes,Headmaster
ATT0005526,07.09.2025,0376,3,133,133,True,
ATT0018711,17-May-2025,SCH0307,8,285,257,True,HM
ATT0009688,2026-03-13,SCH-0110,2,297,198,No,Admin
ATT0000409,16.04.2025,sch_0173,V,260,191,True,Admin
ATT0008733,21.02.2026,SCH0256,I,64,41,True,
ATT0001098,09.06.2025,0507,I,228,187,Yes,HM
ATT0010787,18/07/2025,SCH0479,9,188,168,True,Class Teacher
ATT0010978,2025/04/15,sch_0118,4,292,307,Yes,Clerk
ATT0003935,17/12/2025,SCH0317,2,47,29,Yes,Admin
ATT0010372,2025/12/05,SCH-0516,2,75,53,False,Clerk
,26/04/2025,SCH0219,IV,257,214,True,Clerk
ATT0007246,2025/10/12,sch_0063,9,52,52,1,Admin
ATT0019319,24-Mar-2026,SCH-0508,2,277,262,True,Class Teacher
ATT0001494,02.12.2025,S0562,10,80,80,,Headmaster
ATT0015581,10/01/2026,SCH-0134,6,95,64,Haan,Class Teacher
ATT0018410,2025/10/14,SCH-0497,8,96,62,na,Headmaster
ATT0007410,27.07.2025,SCH-0285,4,86,86,True,
ATT0011571,2025/12/11,SCH0143,2,299,215,1,
ATT0002827,09/01/2026,SCH-0171,1,57,55,H,Clerk
ATT0012796,20-Aug-2025,sch0074,5,105,73,Available,Class Teacher
ATT0004985,2025/11/19,SCH0290,2,137,101,True,Class Teacher
ATT0004974,2025/06/01,SCH0201,10,202,126,,Headmaster
ATT0013885,07/08/2025,SCH0448,3,225,159,,Class Teacher
ATT0002618,2025/10/20,SCH0599,IV,74,46,True,
ATT0003770,05/05/2025,SCH0574,IV,232,191,N,
ATT0016028,2026-02-15,SCH0276,III,149,155,True,Clerk
ATT0004192,2026/02/26,SCH0128,4,53,42,True,HM
ATT0012701,2025-04-06,0251,9,266,266,True,Clerk
ATT0010141,04.09.2025,S0546,IV,174,152,Yes,Headmaster
ATT0019390,2025-09-10,0002,I,255,172,Y,HM
ATT0010040,26.05.2025,SCH0053,10,121,73,True,Admin
ATT0000721,2025/06/19,SCH0090,4,40,38,Available,HM
ATT0018126,01.05.2025,SCH0075,V,197,151,True,Admin
ATT0017456,15/12/2025,sch_0415,II,75,69,True,
ATT0011800,12/08/2025,SCH0118,9,157,113,True,Class Teacher
ATT0011844,2025-11-14,sch_0266,8,289,181,Haan,HM
ATT0019838,2025-06-05,sch0389,II,185,120,False,Admin
ATT0000937,2026/03/26,sch0173,4,144,103,Nahi,Class Teacher
ATT0002993,20-Sep-2025,S0058,2,94,82,True,Admin
ATT0003734,05-15-2025,SCH0060,6,259,212,,
ATT0013532,05.01.2026,S0476,8,171,127,True,HM
ATT0018231,10-27-2025,sch0223,1,108,103,Working,Clerk
ATT0001007,2025-04-17,sch0121,2,170,121,True,Class Teacher
ATT0012726,08.07.2025,SCH-0291,2,296,256,Haan,
ATT0002519,10-Mar-2026,SCH0496,III,118,78,1,Admin
ATT0003249,2025/05/14,S0447,8,299,211,True,
ATT0011119,07-May-2025,S0593,V,239,250,True,Admin
ATT0015016,2025/11/09,SCH0229,8,153,147,True,Admin
ATT0013195,2025/09/22,SCH0481,5,223,166,True,
ATT0008510,08/07/2025,SCH0055,2,168,131,True,HM
ATT0014945,21-Sep-2025,SCH0294,2,80,80,True,Clerk
ATT0008301,2025-06-02,S0221,9,123,89,Functional,Clerk
ATT0005509,20.06.2025,S0546,2,55,36,True,Headmaster
ATT0010121,27/06/2025,SCH0064,I,107,72,0,
ATT0009843,26/07/2025,SCH0428,I,187,177,Functional,Class Teacher
ATT0016589,04-15-2025,sch_0206,III,60,55,Functional,Headmaster
ATT0007583,2025-08-12,SCH0007,3,251,216,Haan,Clerk
ATT0007639,19-May-2025,SCH0012,8,123,107,H,Clerk
ATT0012458,2025/04/23,sch0426,6,255,175,True,Admin
ATT0013665,2025/07/22,sch0242,V,133,101,True,Headmaster
ATT0011202,05-31-2025,SCH0331,V,224,198,,Clerk
ATT0009287,12/02/2026,SCH0201,7,284,303,Hai,Clerk
ATT0011437,2025/10/29,sch_0436,5,106,106,True,Class Teacher
ATT0003486,26/09/2025,SCH-0182,1,180,108,Yes,Headmaster
ATT0017957,2026-03-23,SCH0030,8,123,119,True,Clerk
ATT0006904,30/01/2026,S0063,4,297,245,1,
ATT0011314,02/07/2025,SCH0424,III,144,113,Functional,Headmaster
ATT0011727,2025/07/30,sch_0010,5,73,62,True,Admin
ATT0000483,10/09/2025,S0494,5,240,217,Hai,Admin
ATT0019638,2026/02/24,SCH0207,II,271,252,haan,Class Teacher
ATT0006085,2026/02/13,sch0200,8,106,82,Available,HM
ATT0010164,2026-03-10,SCH0480,4,215,180,True,Clerk
ATT0009876,25/05/2025,SCH0423,8,70,62,H,Admin
ATT0019616,2026-02-27,SCH0149,4,78,54,True,Admin
ATT0003474,12-Oct-2025,SCH0278,V,74,74,H,Clerk
ATT0015794,17/03/2026,SCH-0128,2,166,155,haan,Clerk
ATT0003012,2025/04/03,SCH0348,1,239,172,Haan,Headmaster
ATT0015151,22.08.2025,SCH0333,6,155,113,True,Admin
,17-Jun-2025,SCH0084,2,66,54,Y,
ATT0013994,2025-04-27,SCH0546,IV,230,230,True,Headmaster
ATT0003895,2025-07-05,SCH0086,III,261,206,,Admin
ATT0000539,18/01/2026,sch0018,5,195,156,True,
ATT0008539,06-17-2025,SCH0416,V,76,53,Nahi,
ATT0013296,2025-05-12,sch_0319,6,240,195,True,Admin
ATT0003795,04.11.2025,SCH0137,2,130,139,Working,Headmaster
ATT0019218,08-01-2025,SCH0201,II,129,81,Functional,Admin
ATT0003482,11/12/2025,SCH-0570,7,53,44,Hai,HM
ATT0004167,23/01/2026,SCH0180,4,134,99,Hai,Headmaster
ATT0010608,06-13-2025,sch0556,2,256,172,haan,
ATT0014112,15.01.2026,SCH-0477,IV,265,265,True,HM
ATT0015504,30-Oct-2025,sch0186,4,73,62,True,Class Teacher
ATT0004485,2025-05-05,sch_0384,4,234,150,True,HM
ATT0006428,21.04.2025,SCH0338,3,145,152,Hai,Headmaster
ATT0010991,13/03/2026,SCH0092,5,134,154,Y,
ATT0009544,19/09/2025,SCH-0051,2,110,104,Y,Clerk
ATT0002877,27/04/2025,0512,IV,283,259,True,HM
,23/07/2025,SCH-0530,4,73,69,True,Class Teacher
ATT0015478,20-Mar-2026,SCH0228,2,239,230,Haan,Headmaster
ATT0011145,13/02/2026,SCH-0083,3,199,148,True,HM
ATT0008271,21/03/2026,SCH0376,7,89,68,True,Headmaster
ATT0002797,24/05/2025,S0468,IV,105,78,Working,HM
ATT0018816,31/12/2025,SCH0268,10,156,156,Hai,Class Teacher
,20-Aug-2025,sch_0586,V,55,45,na,HM
ATT0014530,2025/10/10,SCH0552,4,43,25,Not Available,Class Teacher
ATT0013913,2025/08/15,SCH0419,4,244,182,haan,Class Teacher
ATT0003911,01.11.2025,SCH0521,9,286,238,True,Admin
ATT0007331,08-Jul-2025,SCH0202,V,140,114,Yes,
ATT0003499,12.06.2025,sch_0328,I,285,271,,Admin
ATT0015422,2025-07-02,SCH0201,6,89,64,True,Admin
ATT0005515,17-Mar-2026,SCH0511,2,243,166,True,Headmaster
ATT0018621,2025/05/06,S0599,II,286,229,False,Class Teacher
ATT0002316,2025-11-03,SCH0451,2,144,96,,Headmaster
,2025-12-10,SCH0220,III,112,85,1,Clerk
ATT0004194,12-13-2025,SCH0486,7,110,89,True,HM
ATT0008820,05.02.2026,SCH0032,I,72,69,1,Class Teacher
ATT0013348,2025-08-26,SCH-0332,2,146,140,Yes,
ATT0015692,12-17-2025,SCH0443,6,251,264,Working,
ATT0007663,2025/08/11,SCH0149,7,82,55,Haan,Headmaster
ATT0002352,02-Dec-2025,SCH0499,6,103,103,,Headmaster
ATT0006578,2025-11-23,sch_0423,5,186,186,Y,
ATT0007186,2025-07-06,SCH-0146,IV,222,142,haan,Class Teacher
ATT0007933,27.10.2025,SCH-0460,4,180,114,False,Headmaster
ATT0016150,16.12.2025,SCH0130,8,151,168,,
ATT0016551,02-28-2026,SCH-0168,I,265,205,Working,HM
ATT0017565,2025-11-29,SCH0356,1,266,200,1,Class Teacher
ATT0013189,2025-11-21,SCH0419,IV,197,176,True,Clerk
ATT0017212,05.11.2025,S0270,II,222,213,Functional,Headmaster
ATT0002347,12-Dec-2025,SCH0066,9,162,120,False,Class Teacher
ATT0006877,2025-11-16,SCH0334,II,140,87,True,Admin
ATT0019152,2025-11-09,0146,V,145,103,True,Admin
ATT0004606,2025-07-25,sch_0176,III,58,38,1,
ATT0004626,29.11.2025,S0059,I,84,84,Working,HM
ATT0001536,10/11/2025,SCH0243,III,282,236,0,Headmaster
ATT0001730,2026/03/03,sch0573,2,190,184,Y,
ATT0018882,31.07.2025,S0021,1,146,117,Yes,Clerk
ATT0006210,14/03/2026,S0300,3,289,203,True,Headmaster
ATT0007409,2026-03-12,SCH0517,10,265,213,Yes,Admin
ATT0008538,20.02.2026,S0241,8,91,65,True,Class Teacher
ATT0006260,2025/10/04,SCH0178,3,254,220,Haan,Clerk
ATT0018685,08-05-2025,SCH-0002,V,109,98,H,HM
ATT0015355,2025-08-23,SCH-0274,8,271,232,True,Clerk
ATT0019846,11/12/2025,sch_0181,II,283,219,Y,Admin
ATT0008356,22.04.2025,SCH-0234,7,157,100,haan,Class Teacher
ATT0004046,11/01/2026,SCH0102,II,116,91,H,
ATT0014197,09-19-2025,SCH-0516,III,88,67,True,Admin
ATT0003777,22.08.2025,SCH-0275,IV,101,73,True,
ATT0018404,2025-05-09,SCH0394,1,270,182,True,Headmaster
ATT0018754,03/09/2025,S0385,V,233,169,True,Class Teacher
ATT0003888,05/01/2026,SCH0467,3,209,168,True,Class Teacher
ATT0016197,03-16-2026,SCH-0500,IV,258,177,False,Headmaster
ATT0002146,04-01-2025,S0003,9,136,116,Yes,
ATT0000291,24.04.2025,SCH0338,9,190,161,,HM
ATT0006142,06/10/2025,SCH0525,3,219,154,H,Class Teacher
ATT0018348,27.09.2025,SCH0537,I,83,57,False,Headmaster
ATT0007345,2025/11/19,S0197,9,231,192,False,Clerk
ATT0005454,2026/01/31,SCH0586,2,226,174,Functional,
ATT0015763,01-03-2026,SCH0358,9,203,153,Working,Admin
ATT0014682,2025-06-10,0558,IV,214,137,,
ATT0015957,04-May-2025,S0559,9,100,62,Y,Clerk
ATT0004601,13/10/2025,SCH0467,1,138,95,True,HM
ATT0016723,03/04/2025,S0373,1,48,34,True,Class Teacher
ATT0019038,2025/06/25,SCH-0246,7,282,240,0,Admin
ATT0006926,06/01/2026,SCH-0464,1,261,212,1,
ATT0017841,30/08/2025,SCH0021,10,89,59,True,Clerk
ATT0016529,20-Aug-2025,sch_0410,I,156,96,True,HM
