record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,date_outside_expected_range,date_missing,attendance_invalid,attendance_rate,is_sunday,proxy_attendance,perfect_attendance
ATT0014906,2026-02-08,SCH0488,1,174,168,True,Admin,False,False,False,96.55,True,False,False
ATT0017596,2025-06-23,SCH0317,2,259,250,True,Admin,False,False,False,96.53,False,False,False
ATT0008727,2026-02-24,SCH0024,7,138,86,False,,False,False,False,62.32,False,False,False
ATT0016450,2026-03-22,SCH0596,3,236,236,True,Class Teacher,False,False,False,100.0,True,True,True
ATT0002306,2025-10-11,SCH0271,3,45,41,False,HM,False,False,False,91.11,False,False,False
ATT0012052,2026-06-02,SCH0367,4,289,188,,Class Teacher,True,False,False,65.05,False,False,False
ATT0003480,2025-05-20,SCH0295,3,147,97,True,Clerk,False,False,False,65.99,False,False,False
ATT0009137,2026-02-17,SCH0139,1,173,152,,Clerk,False,False,False,87.86,False,False,False
ATT0007525,2025-12-13,SCH0206,9,261,188,True,,False,False,False,72.03,False,False,False
ATT0010353,2025-06-12,SCH0289,3,131,82,True,,False,False,False,62.6,False,False,False
ATT0012107,2025-04-13,SCH0172,1,214,214,True,Class Teacher,False,False,False,100.0,True,True,True
ATT0015379,2025-05-12,SCH0246,4,84,80,True,Admin,False,False,False,95.24,False,False,False
ATT0019606,2025-08-05,SCH0392,10,55,42,True,,False,False,False,76.36,False,False,False
ATT0016832,2025-11-18,SCH0031,10,61,40,True,Clerk,False,False,False,65.57,False,False,False
ATT0013190,2025-09-19,SCH0450,1,156,156,True,Clerk,False,False,False,100.0,False,False,True
ATT0003799,2026-01-11,SCH0225,1,92,104,,Clerk,False,False,True,113.04,True,False,False
ATT0015816,2025-05-04,SCH0380,8,187,187,True,Class Teacher,False,False,False,100.0,True,True,True
ATT0019080,2025-07-23,SCH0107,5,190,179,True,Headmaster,False,False,False,94.21,False,False,False
ATT0016929,2025-09-09,SCH0038,3,279,227,True,Clerk,False,False,False,81.36,False,False,False
ATT0003669,2025-11-24,SCH0048,5,299,244,True,Headmaster,False,False,False,81.61,False,False,False
ATT0018433,2025-09-08,SCH0452,4,134,93,True,HM,False,False,False,69.4,False,False,False
ATT0006326,2025-11-21,SCH0366,3,63,58,True,HM,False,False,False,92.06,False,False,False
ATT0013584,2025-11-30,SCH0068,4,64,64,True,,False,False,False,100.0,True,True,True
ATT0000134,2026-02-26,SCH0036,5,83,50,,Headmaster,False,False,False,60.24,False,False,False
ATT0013830,2026-07-02,SCH0124,5,197,152,False,Headmaster,True,False,False,77.16,False,False,False
ATT0013856,2025-04-21,SCH0448,8,177,138,,HM,False,False,False,77.97,False,False,False
ATT0003779,2025-04-25,SCH0040,2,129,91,,Class Teacher,False,False,False,70.54,False,False,False
ATT0000386,2025-04-16,SCH0105,2,132,119,True,Headmaster,False,False,False,90.15,False,False,False
ATT0012462,2025-12-08,SCH0032,6,183,143,False,,False,False,False,78.14,False,False,False
ATT0011447,2025-05-09,SCH0097,4,46,38,True,Admin,False,False,False,82.61,False,False,False
ATT0002172,2025-07-14,SCH0004,2,298,229,,Headmaster,False,False,False,76.85,False,False,False
ATT0019703,2025-08-11,SCH0141,2,248,200,True,Admin,False,False,False,80.65,False,False,False
ATT0015261,2025-09-21,SCH0048,2,166,166,,HM,False,False,False,100.0,True,True,True
ATT0005663,2025-07-28,SCH0328,10,60,44,True,Clerk,False,False,False,73.33,False,False,False
ATT0001356,2025-06-27,SCH0523,3,60,39,True,Headmaster,False,False,False,65.0,False,False,False
ATT0002086,2025-11-22,SCH0334,5,240,233,True,,False,False,False,97.08,False,False,False
ATT0019163,2025-09-27,SCH0008,3,196,189,True,Clerk,False,False,False,96.43,False,False,False
ATT0010361,2025-08-21,SCH0180,7,188,134,True,,False,False,False,71.28,False,False,False
ATT0011548,2025-07-04,SCH0155,3,271,224,True,Clerk,False,False,False,82.66,False,False,False
ATT0002387,2025-05-12,SCH0412,1,203,141,True,Admin,False,False,False,69.46,False,False,False
ATT0012785,2025-04-26,SCH0193,10,156,114,True,Admin,False,False,False,73.08,False,False,False
ATT0000475,2025-11-14,SCH0377,3,292,204,False,Class Teacher,False,False,False,69.86,False,False,False
ATT0003435,2025-12-26,SCH0067,8,63,57,True,Admin,False,False,False,90.48,False,False,False
ATT0005306,2025-04-04,SCH0249,5,256,205,True,Class Teacher,False,False,False,80.08,False,False,False
ATT0008088,2025-05-12,SCH0552,5,198,175,,Headmaster,False,False,False,88.38,False,False,False
ATT0004843,2025-06-06,SCH0075,7,143,99,,HM,False,False,False,69.23,False,False,False
ATT0013436,2026-02-16,SCH0329,10,70,53,True,HM,False,False,False,75.71,False,False,False
ATT0007882,2025-11-21,SCH0136,6,137,145,True,HM,False,False,True,105.84,False,False,False
ATT0006291,2025-11-04,SCH0361,2,228,164,True,Admin,False,False,False,71.93,False,False,False
ATT0012561,2026-02-16,SCH0128,3,106,106,True,Class Teacher,False,False,False,100.0,False,False,True
ATT0002504,2026-02-11,SCH0092,4,209,165,False,Class Teacher,False,False,False,78.95,False,False,False
ATT0007290,2025-10-02,SCH0271,1,185,145,True,HM,False,False,False,78.38,False,False,False
ATT0015715,2025-12-24,SCH0348,3,67,52,True,Headmaster,False,False,False,77.61,False,False,False
ATT0016429,2025-11-02,SCH0488,6,41,41,True,Class Teacher,False,False,False,100.0,True,True,True
ATT0000745,2025-05-31,SCH0584,8,166,112,True,,False,False,False,67.47,False,False,False
ATT0017944,2026-03-16,SCH0372,8,239,188,True,HM,False,False,False,78.66,False,False,False
ATT0017881,2025-06-02,SCH0493,5,240,208,True,Headmaster,False,False,False,86.67,False,False,False
ATT0015453,2025-06-30,SCH0202,9,56,69,True,Clerk,False,False,True,123.21,False,False,False
ATT0010552,2025-10-18,SCH0382,3,290,252,True,Clerk,False,False,False,86.9,False,False,False
ATT0019746,2025-11-16,SCH0597,10,119,119,True,Headmaster,False,False,False,100.0,True,True,True
ATT0002326,2025-11-19,SCH0168,1,132,127,True,Clerk,False,False,False,96.21,False,False,False
ATT0009961,2026-03-11,SCH0118,8,155,105,False,Clerk,False,False,False,67.74,False,False,False
ATT0018383,2025-08-30,SCH0532,5,205,192,True,HM,False,False,False,93.66,False,False,False
ATT0016506,2025-09-20,SCH0469,9,46,31,True,HM,False,False,False,67.39,False,False,False
ATT0012139,2026-01-25,SCH0417,5,160,176,,Headmaster,False,False,True,110.0,True,False,False
ATT0016665,2025-04-21,SCH0575,4,169,114,True,Admin,False,False,False,67.46,False,False,False
ATT0017392,2025-04-06,SCH0303,2,270,270,,Class Teacher,False,False,False,100.0,True,True,True
ATT0001167,2025-11-01,SCH0540,3,244,178,True,HM,False,False,False,72.95,False,False,False
ATT0009962,2025-07-23,SCH0082,5,277,177,,Class Teacher,False,False,False,63.9,False,False,False
ATT0006135,2025-08-13,SCH0389,10,162,155,True,Clerk,False,False,False,95.68,False,False,False
ATT0009816,2026-02-06,SCH0032,1,239,146,True,Admin,False,False,False,61.09,False,False,False
ATT0005672,2026-03-21,SCH0012,5,182,151,True,HM,False,False,False,82.97,False,False,False
ATT0006798,2025-08-14,SCH0549,2,121,79,True,,False,False,False,65.29,False,False,False
ATT0007859,2026-01-17,SCH0362,7,192,149,False,Class Teacher,False,False,False,77.6,False,False,False
ATT0011552,2025-04-07,SCH0102,6,144,117,True,Class Teacher,False,False,False,81.25,False,False,False
ATT0018220,2025-07-05,SCH0217,3,49,32,,Class Teacher,False,False,False,65.31,False,False,False
ATT0007537,2026-02-28,SCH0464,4,115,101,True,Headmaster,False,False,False,87.83,False,False,False
ATT0017089,2025-12-04,SCH0133,8,136,122,False,Class Teacher,False,False,False,89.71,False,False,False
ATT0008467,2025-04-27,SCH0297,8,299,232,False,Clerk,False,False,False,77.59,True,False,False
ATT0017746,2026-03-28,SCH0083,5,287,205,,Class Teacher,False,False,False,71.43,False,False,False
ATT0011454,2025-10-14,SCH0547,1,261,252,False,Clerk,False,False,False,96.55,False,False,False
ATT0004950,2025-06-23,SCH0486,5,70,57,True,Headmaster,False,False,False,81.43,False,False,False
ATT0013625,2025-12-28,SCH0344,1,225,165,True,Clerk,False,False,False,73.33,True,False,False
ATT0019973,2025-04-17,SCH0292,1,161,139,True,Class Teacher,False,False,False,86.34,False,False,False
ATT0012615,2025-10-21,SCH0318,8,258,157,True,Headmaster,False,False,False,60.85,False,False,False
ATT0004439,2026-03-31,SCH0532,5,135,120,False,Clerk,False,False,False,88.89,False,False,False
ATT0006632,2025-10-28,SCH0136,6,161,126,True,Class Teacher,False,False,False,78.26,False,False,False
ATT0002752,2025-10-07,SCH0234,2,221,174,False,Class Teacher,False,False,False,78.73,False,False,False
ATT0016471,2025-10-15,SCH0235,1,297,267,True,Clerk,False,False,False,89.9,False,False,False
ATT0006557,2025-08-11,SCH0538,3,142,159,True,Class Teacher,False,False,True,111.97,False,False,False
,2026-03-23,SCH0565,9,138,115,,Clerk,False,False,False,83.33,False,False,False
ATT0016793,2025-08-08,SCH0019,8,135,99,True,HM,False,False,False,73.33,False,False,False
ATT0005422,2025-12-27,SCH0255,4,161,145,True,Class Teacher,False,False,False,90.06,False,False,False
ATT0011991,2025-08-23,SCH0309,7,69,65,True,,False,False,False,94.2,False,False,False
ATT0000564,2025-04-29,SCH0441,2,166,166,True,Admin,False,False,False,100.0,False,False,True
,2025-06-12,SCH0231,3,128,139,True,Clerk,False,False,True,108.59,False,False,False
ATT0009691,2025-07-29,SCH0283,1,57,41,,HM,False,False,False,71.93,False,False,False
ATT0018752,2025-05-04,SCH0079,5,155,155,True,Headmaster,False,False,False,100.0,True,True,True
ATT0013496,2025-05-10,SCH0076,5,59,59,True,Admin,False,False,False,100.0,False,False,True
ATT0004220,2025-04-20,SCH0458,3,131,131,True,Class Teacher,False,False,False,100.0,True,True,True
,2025-08-04,SCH0406,1,273,214,True,HM,False,False,False,78.39,False,False,False
ATT0006358,2025-10-13,SCH0333,2,221,214,True,Admin,False,False,False,96.83,False,False,False
ATT0004548,2025-04-02,SCH0162,1,293,278,,,False,False,False,94.88,False,False,False
,2025-07-09,SCH0322,8,202,202,True,Clerk,False,False,False,100.0,False,False,True
ATT0002938,2025-08-13,SCH0575,5,204,156,,Clerk,False,False,False,76.47,False,False,False
ATT0016043,2025-10-16,SCH0463,9,255,165,True,Admin,False,False,False,64.71,False,False,False
ATT0009359,2026-03-25,SCH0284,4,257,229,False,Admin,False,False,False,89.11,False,False,False
ATT0013079,2025-06-20,SCH0210,1,54,40,False,,False,False,False,74.07,False,False,False
ATT0015003,2026-01-01,SCH0120,2,196,176,True,Headmaster,False,False,False,89.8,False,False,False
ATT0019801,2025-10-20,SCH0550,8,196,165,True,Admin,False,False,False,84.18,False,False,False
ATT0005377,2025-04-11,SCH0303,2,76,53,True,HM,False,False,False,69.74,False,False,False
ATT0005478,2026-02-08,SCH0305,1,209,225,True,Headmaster,False,False,True,107.66,True,False,False
ATT0019212,2025-11-29,SCH0145,10,246,246,True,Clerk,False,False,False,100.0,False,False,True
ATT0017465,2025-07-10,SCH0034,5,227,196,True,HM,False,False,False,86.34,False,False,False
ATT0003949,2025-10-16,SCH0298,3,236,218,True,Headmaster,False,False,False,92.37,False,False,False
ATT0008542,2025-09-29,SCH0161,2,137,101,,Clerk,False,False,False,73.72,False,False,False
ATT0008118,2025-06-12,SCH0028,2,300,225,True,Headmaster,False,False,False,75.0,False,False,False
ATT0000777,2026-01-11,SCH0167,5,209,151,True,Class Teacher,False,False,False,72.25,True,False,False
ATT0016135,2025-07-27,SCH0580,7,51,51,True,Headmaster,False,False,False,100.0,True,True,True
ATT0004731,2025-07-04,SCH0574,4,98,72,True,Headmaster,False,False,False,73.47,False,False,False
ATT0006219,2025-08-13,SCH0192,4,203,125,True,Admin,False,False,False,61.58,False,False,False
ATT0015102,2025-05-30,SCH0093,5,212,157,,Class Teacher,False,False,False,74.06,False,False,False
ATT0003001,2025-11-16,SCH0533,8,168,168,True,Admin,False,False,False,100.0,True,True,True
ATT0005863,2026-01-26,SCH0014,5,77,49,True,Admin,False,False,False,63.64,False,False,False
ATT0018506,2026-03-22,SCH0548,3,125,102,,Class Teacher,False,False,False,81.6,True,False,False
ATT0009615,2025-04-04,SCH0391,7,112,68,False,,False,False,False,60.71,False,False,False
ATT0013003,2025-05-03,SCH0316,3,45,42,False,,False,False,False,93.33,False,False,False
ATT0011128,2025-08-19,SCH0445,8,106,74,,Headmaster,False,False,False,69.81,False,False,False
ATT0002120,2025-12-02,SCH0191,5,90,90,True,Class Teacher,False,False,False,100.0,False,False,True
ATT0017627,2025-08-22,SCH0475,5,252,191,True,,False,False,False,75.79,False,False,False
ATT0016319,2025-06-07,SCH0061,4,119,99,True,Clerk,False,False,False,83.19,False,False,False
ATT0002754,2025-04-21,SCH0106,4,237,155,True,Class Teacher,False,False,False,65.4,False,False,False
ATT0016898,2025-05-09,SCH0106,3,51,37,,,False,False,False,72.55,False,False,False
ATT0004521,2025-08-30,SCH0490,2,95,76,True,,False,False,False,80.0,False,False,False
ATT0002458,2025-11-06,SCH0060,9,93,74,True,Clerk,False,False,False,79.57,False,False,False
ATT0013853,2025-12-29,SCH0382,1,180,126,,Clerk,False,False,False,70.0,False,False,False
ATT0008482,2025-06-04,SCH0071,8,108,80,True,Clerk,False,False,False,74.07,False,False,False
ATT0012100,2025-10-03,SCH0423,7,127,91,False,Admin,False,False,False,71.65,False,False,False
ATT0011960,2025-10-23,SCH0438,7,212,133,True,Clerk,False,False,False,62.74,False,False,False
ATT0008070,2025-05-05,SCH0299,4,159,102,,Clerk,False,False,False,64.15,False,False,False
ATT0007257,2025-04-08,SCH0076,7,268,222,True,Headmaster,False,False,False,82.84,False,False,False
ATT0009490,2025-06-25,SCH0397,2,229,240,,Admin,False,False,True,104.8,False,False,False
ATT0014936,2025-07-02,SCH0148,4,228,219,True,Class Teacher,False,False,False,96.05,False,False,False
ATT0014130,2025-06-27,SCH0168,5,66,63,True,Admin,False,False,False,95.45,False,False,False
ATT0018191,2025-04-19,SCH0157,6,79,79,True,Headmaster,False,False,False,100.0,False,False,True
ATT0016328,2025-07-07,SCH0085,4,93,69,,HM,False,False,False,74.19,False,False,False
ATT0015663,2026-03-19,SCH0041,5,186,145,True,Admin,False,False,False,77.96,False,False,False
ATT0015364,2025-12-13,SCH0308,7,276,213,,Headmaster,False,False,False,77.17,False,False,False
ATT0013039,2025-12-06,SCH0571,4,225,158,True,Clerk,False,False,False,70.22,False,False,False
ATT0003283,2025-11-01,SCH0068,8,91,64,,Clerk,False,False,False,70.33,False,False,False
ATT0012182,2026-03-22,SCH0470,1,68,68,True,Admin,False,False,False,100.0,True,True,True
ATT0004983,2025-07-20,SCH0263,4,89,76,True,HM,False,False,False,85.39,True,False,False
ATT0009503,2025-06-17,SCH0141,5,205,198,,Class Teacher,False,False,False,96.59,False,False,False
ATT0003406,2026-03-04,SCH0042,1,240,225,,Clerk,False,False,False,93.75,False,False,False
ATT0003959,2026-03-10,SCH0461,3,74,57,,Class Teacher,False,False,False,77.03,False,False,False
ATT0017342,2025-10-15,SCH0403,4,102,111,,Clerk,False,False,True,108.82,False,False,False
ATT0009179,2025-06-27,SCH0466,5,272,230,,Admin,False,False,False,84.56,False,False,False
ATT0002268,2025-09-19,SCH0139,7,45,28,True,Clerk,False,False,False,62.22,False,False,False
ATT0013127,2025-06-06,SCH0287,3,224,192,True,Admin,False,False,False,85.71,False,False,False
ATT0013335,2025-04-14,SCH0092,2,219,138,True,,False,False,False,63.01,False,False,False
ATT0014774,2025-10-11,SCH0355,6,42,36,,Clerk,False,False,False,85.71,False,False,False
ATT0010369,2025-05-31,SCH0206,10,122,98,True,HM,False,False,False,80.33,False,False,False
ATT0007224,2025-05-10,SCH0239,3,268,242,True,,False,False,False,90.3,False,False,False
ATT0018308,2025-09-23,SCH0188,1,246,150,,,False,False,False,60.98,False,False,False
,2025-10-20,SCH0332,2,195,189,,Admin,False,False,False,96.92,False,False,False
ATT0018556,2026-03-28,SCH0053,1,108,89,,HM,False,False,False,82.41,False,False,False
ATT0002486,2025-12-29,SCH0120,4,215,171,,Admin,False,False,False,79.53,False,False,False
ATT0017100,2025-08-24,SCH0163,5,216,184,True,Class Teacher,False,False,False,85.19,True,False,False
ATT0016223,2025-12-30,SCH0289,5,131,82,True,Headmaster,False,False,False,62.6,False,False,False
ATT0004881,2025-07-12,SCH0208,5,185,147,True,HM,False,False,False,79.46,False,False,False
ATT0016299,2025-07-07,SCH0473,5,171,144,True,Clerk,False,False,False,84.21,False,False,False
ATT0011867,2026-03-19,SCH0124,2,93,72,,Clerk,False,False,False,77.42,False,False,False
ATT0007276,2025-12-09,SCH0007,3,138,90,True,Clerk,False,False,False,65.22,False,False,False
ATT0014291,2025-04-07,SCH0001,1,202,158,True,Admin,False,False,False,78.22,False,False,False
ATT0014519,2025-05-04,SCH0475,7,218,218,True,Headmaster,False,False,False,100.0,True,True,True
ATT0005526,2025-09-07,SCH0376,3,133,133,True,,False,False,False,100.0,True,True,True
ATT0018711,2025-05-17,SCH0307,8,285,257,True,HM,False,False,False,90.18,False,False,False
ATT0009688,2026-03-13,SCH0110,2,297,198,False,Admin,False,False,False,66.67,False,False,False
ATT0000409,2025-04-16,SCH0173,5,260,191,True,Admin,False,False,False,73.46,False,False,False
ATT0008733,2026-02-21,SCH0256,1,64,41,True,,False,False,False,64.06,False,False,False
ATT0001098,2025-06-09,SCH0507,1,228,187,True,HM,False,False,False,82.02,False,False,False
ATT0010787,2025-07-18,SCH0479,9,188,168,True,Class Teacher,False,False,False,89.36,False,False,False
ATT0010978,2025-04-15,SCH0118,4,292,307,True,Clerk,False,False,True,105.14,False,False,False
ATT0003935,2025-12-17,SCH0317,2,47,29,True,Admin,False,False,False,61.7,False,False,False
ATT0010372,2025-12-05,SCH0516,2,75,53,False,Clerk,False,False,False,70.67,False,False,False
,2025-04-26,SCH0219,4,257,214,True,Clerk,False,False,False,83.27,False,False,False
ATT0007246,2025-10-12,SCH0063,9,52,52,,Admin,False,False,False,100.0,True,True,True
ATT0019319,2026-03-24,SCH0508,2,277,262,True,Class Teacher,False,False,False,94.58,False,False,False
ATT0001494,2025-12-02,SCH0562,10,80,80,,Headmaster,False,False,False,100.0,False,False,True
ATT0015581,2026-01-10,SCH0134,6,95,64,True,Class Teacher,False,False,False,67.37,False,False,False
ATT0018410,2025-10-14,SCH0497,8,96,62,,Headmaster,False,False,False,64.58,False,False,False
ATT0007410,2025-07-27,SCH0285,4,86,86,True,,False,False,False,100.0,True,True,True
ATT0011571,2025-12-11,SCH0143,2,299,215,,,False,False,False,71.91,False,False,False
ATT0002827,2026-01-09,SCH0171,1,57,55,,Clerk,False,False,False,96.49,False,False,False
ATT0012796,2025-08-20,SCH0074,5,105,73,True,Class Teacher,False,False,False,69.52,False,False,False
ATT0004985,2025-11-19,SCH0290,2,137,101,True,Class Teacher,False,False,False,73.72,False,False,False
ATT0004974,2025-06-01,SCH0201,10,202,126,,Headmaster,False,False,False,62.38,True,False,False
ATT0013885,2025-08-07,SCH0448,3,225,159,,Class Teacher,False,False,False,70.67,False,False,False
ATT0002618,2025-10-20,SCH0599,4,74,46,True,,False,False,False,62.16,False,False,False
ATT0003770,2025-05-05,SCH0574,4,232,191,False,,False,False,False,82.33,False,False,False
ATT0016028,2026-02-15,SCH0276,3,149,155,True,Clerk,False,False,True,104.03,True,False,False
ATT0004192,2026-02-26,SCH0128,4,53,42,True,HM,False,False,False,79.25,False,False,False
ATT0012701,2025-04-06,SCH0251,9,266,266,True,Clerk,False,False,False,100.0,True,True,True
