school_id,school_name,district,block,total_enrolled_students,school_type,medium,attendance_records,average_attendance_rate,perfect_attendance_records,proxy_attendance_records,invalid_attendance_records,perfect_attendance_rate,proxy_attendance_rate,invalid_attendance_rate,test_records,score_records_available,average_test_score,score_conversion_rate,mdm_records,total_grain_quantity_kg,total_mdm_cost,paid_records,pending_records,due_records,payment_status_available,paid_percentage,infrastructure_records,electricity_available,drinking_water_available,functional_toilet_available,boundary_wall_available,playground_available,average_facility_count,all_core_facilities_count,attendance_risk,proxy_risk,score_risk,infrastructure_risk,retention_risk_indicator
SCH0486,Govt. Primary School Johal,Ferozepur,Ferozepur,72,Secondary,Punjabi,41,81.71,3,2,0,7.32,4.88,0.0,14,8,68.11,57.14,24,518.2,49390.0,9,9,3,21,42.86,5.0,80.0,75.0,0.0,25.0,25.0,1.8,0.0,18.29,4.88,31.89,64.0,29.76
SCH0278,Govt. Primary School Kamdar,Amritsar,Amritsar-I,433,Secondary,Punjabi,37,80.21,4,2,0,10.81,5.41,0.0,14,10,66.37,71.43,13,355.0,15560.0,6,2,3,11,54.55,6.0,80.0,100.0,40.0,80.0,33.33333333333333,3.0,0.0,19.79,5.41,33.63,40.0,24.71
SCH0209,Govt. Elementary School Mane,Ferozepur,Zira,388,Primary,Hindi,22,82.35,1,1,3,4.55,4.55,13.64,13,13,63.98,100.0,15,526.0,28804.0,8,3,2,13,61.54,9.0,77.77777777777779,83.33333333333334,77.77777777777779,50.0,44.44444444444444,3.0,1.0,17.65,4.55,36.02,40.0,24.55
SCH0466,Govt. Middle School Chand,Ferozepur,Mamdot,272,Primary,Hindi,34,83.49,2,1,3,5.88,2.94,8.82,17,16,67.62,94.12,19,650.6,36620.0,2,8,6,16,12.5,10.0,80.0,77.77777777777779,75.0,50.0,37.5,2.8,1.0,16.51,2.94,32.38,44.0,23.96
SCH0394,Govt. Senior Secondary School Bala,Bathinda,Talwandi Sabo,67,Upper Primary,Hindi,48,81.51,4,3,0,8.33,6.25,0.0,18,10,67.73,55.56,20,463.2,51646.0,8,6,4,18,44.44,3.0,100.0,100.0,100.0,50.0,100.0,3.0,1.0,18.49,6.25,32.27,40.0,24.25
SCH0347,Govt. Primary School Mall,Ludhiana,Machhiwara,311,Upper Primary,Hindi,44,80.36,4,2,0,9.09,4.55,0.0,17,15,68.31,88.24,19,495.2,49719.0,7,3,2,12,58.33,4.0,66.66666666666666,100.0,75.0,66.66666666666666,100.0,3.75,1.0,19.64,4.55,31.69,25.0,20.22
SCH0566,Govt. Primary School Ramachandran,Amritsar,Tarn Taran,378,Secondary,Punjabi,33,82.59,2,2,3,6.06,6.06,9.09,19,15,65.95,78.95,15,345.6,35532.0,7,4,3,14,50.0,10.0,71.42857142857143,80.0,80.0,25.0,60.0,2.9,1.0,17.41,6.06,34.05,42.0,24.88
SCH0031,Govt. Primary School Mohanty,Sangrur,Unknown,424,Primary,Hindi,30,80.17,4,4,0,13.33,13.33,0.0,15,11,71.23,73.33,18,476.0,49860.0,5,7,2,14,35.71,4.0,100.0,50.0,100.0,25.0,25.0,2.75,0.0,19.83,13.33,28.77,45.0,26.73
SCH0574,Govt. Primary School Deep,Jalandhar,Phillaur,434,Upper Primary,Hindi,32,78.72,2,1,0,6.25,3.12,0.0,8,5,66.48,62.5,24,554.5,46582.0,6,12,4,22,27.27,3.0,100.0,100.0,100.0,50.0,33.33333333333333,3.67,0.0,21.28,3.12,33.52,26.67,21.15
SCH0205,Govt. Elementary School Chander,Unknown,Ferozepur,63,Secondary,Hindi,48,83.49,5,3,1,10.42,6.25,2.08,8,6,72.9,75.0,19,435.8,29030.0,7,6,2,15,46.67,8.0,83.33333333333334,100.0,87.5,16.666666666666664,50.0,2.75,0.0,16.51,6.25,27.1,45.0,23.71
SCH0312,Govt. Primary School Sagar,Patiala,Samana,370,Secondary,English,37,78.4,2,1,2,5.41,2.7,5.41,20,15,75.36,75.0,17,401.3,44538.0,6,6,2,14,42.86,6.0,66.66666666666666,80.0,80.0,25.0,25.0,2.33,0.0,21.6,2.7,24.64,53.33,25.57
SCH0512,Govt. Elementary School Chana,Ferozepur,Makhu,267,Secondary,Hindi,36,82.71,3,2,0,8.33,5.56,0.0,10,7,64.76,70.0,14,375.0,36787.0,6,3,4,13,46.15,6.0,60.0,50.0,80.0,40.0,100.0,2.83,0.0,17.29,5.56,35.24,43.33,25.36
SCH0141,Govt. Middle School Sane,Sangrur,Malerkotla,63,Primary,Hindi,34,84.82,1,1,2,2.94,2.94,5.88,13,11,63.42,84.62,31,944.9,68052.0,12,8,6,26,46.15,11.0,66.66666666666666,80.0,100.0,36.36363636363637,55.55555555555556,3.0,0.0,15.18,2.94,36.58,40.0,23.67
SCH0474,Govt. Senior Secondary School Borra,Sangrur,Dhuri,286,Higher Secondary,Hindi,46,82.1,5,2,2,10.87,4.35,4.35,9,7,59.44,77.78,21,553.7,59016.0,14,4,1,19,73.68,7.0,85.71428571428571,100.0,50.0,71.42857142857143,14.285714285714285,3.14,0.0,17.9,4.35,40.56,37.14,24.99
SCH0578,Govt. Primary School Narasimhan,Jalandhar,Phillaur,291,Upper Primary,Punjabi,34,82.56,5,0,0,14.71,0.0,0.0,14,10,68.08,71.43,12,292.7,41672.0,4,1,3,8,50.0,4.0,100.0,100.0,66.66666666666666,100.0,50.0,3.0,0.0,17.44,0.0,31.92,40.0,22.34
SCH0057,Govt. Elementary School Wagle,Ferozepur,Zira,401,Higher Secondary,Hindi,44,80.21,4,2,1,9.09,4.55,2.27,14,9,77.32,64.29,22,637.1,44313.0,9,9,1,19,47.37,3.0,100.0,50.0,33.33333333333333,100.0,66.66666666666666,3.0,0.0,19.79,4.55,22.68,40.0,21.75
SCH0589,Govt. Elementary School Sarraf,Patiala,Patiala,358,Primary,Punjabi,26,82.66,2,2,0,7.69,7.69,0.0,12,9,63.33,75.0,22,468.6,50966.0,8,7,5,20,40.0,3.0,50.0,100.0,50.0,66.66666666666666,0.0,2.0,0.0,17.34,7.69,36.67,60.0,30.43
SCH0506,Govt. Primary School Parekh,Jalandhar,Nakodar,442,Secondary,Hindi,37,85.02,4,3,2,10.81,8.11,5.41,12,7,73.1,58.33,21,497.7,41082.0,11,5,4,20,55.0,5.0,80.0,100.0,80.0,100.0,20.0,3.6,1.0,14.98,8.11,26.9,28.0,19.5
SCH0229,Govt. Primary School Balay,Patiala,Unknown,309,Secondary,Hindi,34,86.51,5,3,3,14.71,8.82,8.82,12,9,70.18,75.0,31,726.6,63528.0,18,8,2,28,64.29,11.0,88.88888888888889,90.0,70.0,90.0,36.36363636363637,3.36,1.0,13.49,8.82,29.82,32.73,21.22
SCH0210,Govt. Primary School Barman,Ferozepur,Zira,250,Higher Secondary,Hindi,40,84.98,7,6,3,17.5,15.0,7.5,16,11,69.4,68.75,33,829.9,76821.0,11,7,6,24,45.83,8.0,87.5,87.5,85.71428571428571,100.0,42.857142857142854,3.62,2.0,15.02,15.0,30.6,27.5,22.03
SCH0025,Govt. Elementary School Tella,Ludhiana,Ludhiana-I,425,Upper Primary,Punjabi,34,82.24,3,2,3,8.82,5.88,8.82,11,7,64.43,63.64,25,639.8,45870.0,9,9,3,21,42.86,4.0,75.0,100.0,50.0,75.0,50.0,3.5,0.0,17.76,5.88,35.57,30.0,22.3
SCH0479,Govt. Primary School Tank,Moga,Moga-I,257,Higher Secondary,Hindi,45,84.86,7,4,1,15.56,8.89,2.22,8,4,72.4,50.0,17,399.6,34032.0,6,6,3,15,40.0,6.0,80.0,80.0,66.66666666666666,50.0,33.33333333333333,2.83,0.0,15.14,8.89,27.6,43.33,23.74
SCH0369,Govt. Senior Secondary School Naik,Patiala,Rajpura,193,Primary,Punjabi,25,77.42,1,1,0,4.0,4.0,0.0,11,10,62.83,90.91,24,566.4,49968.0,11,6,4,21,52.38,4.0,50.0,75.0,50.0,100.0,50.0,3.0,0.0,22.58,4.0,37.17,40.0,25.94
SCH0362,Govt. Elementary School Sinha,Ferozepur,Zira,67,Upper Primary,Hindi,21,77.61,2,1,0,9.52,4.76,0.0,15,10,69.26,66.67,15,314.1,31334.0,10,2,3,15,66.67,3.0,66.66666666666666,100.0,100.0,33.33333333333333,100.0,3.67,1.0,22.39,4.76,30.74,26.67,21.14
SCH0364,Govt. Primary School Chowdhury,Ludhiana,Machhiwara,84,Higher Secondary,English,44,88.49,4,3,7,9.09,6.82,15.91,11,9,59.01,81.82,28,707.1,75489.0,14,5,3,22,63.64,4.0,33.33333333333333,66.66666666666666,75.0,100.0,75.0,3.0,0.0,11.51,6.82,40.99,40.0,24.83
SCH0469,Govt. Middle School Gera,Ludhiana,Ludhiana-Ii,265,Primary,Hindi,38,79.61,3,2,2,7.89,5.26,5.26,18,13,65.82,72.22,18,409.1,39717.0,7,4,3,14,50.0,4.0,100.0,100.0,100.0,50.0,75.0,3.75,1.0,20.39,5.26,34.18,25.0,21.21
SCH0071,Govt. Elementary School Comar,Bathinda,Rampura Phul,165,Primary,Punjabi,40,79.56,3,1,1,7.5,2.5,2.5,11,10,63.36,90.91,24,601.7,38849.0,11,7,3,21,52.38,7.0,80.0,83.33333333333334,100.0,60.0,57.14285714285714,3.0,1.0,20.44,2.5,36.64,40.0,24.89
SCH0353,Govt. Elementary School Parikh,Ferozepur,Ferozepur,212,Upper Primary,Punjabi,27,80.18,2,2,1,7.41,7.41,3.7,10,8,72.94,80.0,18,407.5,26664.0,9,5,1,15,60.0,3.0,66.66666666666666,66.66666666666666,100.0,100.0,66.66666666666666,3.67,1.0,19.82,7.41,27.06,26.67,20.24
SCH0177,Govt. Middle School Manne,Moga,Moga-Ii,294,Secondary,Punjabi,39,79.12,2,1,0,5.13,2.56,0.0,14,12,67.8,85.71,19,360.6,43450.0,6,7,4,17,35.29,3.0,66.66666666666666,100.0,100.0,0.0,100.0,3.0,0.0,20.88,2.56,32.2,40.0,23.91
SCH0370,Govt. Primary School Pant,Jalandhar,Jalandhar-Ii,148,Upper Primary,Punjabi,36,81.86,4,3,2,11.11,8.33,5.56,14,10,60.96,71.43,18,451.2,45041.0,5,4,5,14,35.71,4.0,66.66666666666666,50.0,33.33333333333333,50.0,33.33333333333333,1.75,0.0,18.14,8.33,39.04,65.0,32.63
SCH0061,Govt. Elementary School Dhawan,Ludhiana,Machhiwara,343,Primary,Punjabi,40,85.02,4,2,2,10.0,5.0,5.0,7,6,63.02,85.71,22,439.1,47307.0,10,10,0,20,50.0,4.0,100.0,100.0,33.33333333333333,25.0,0.0,2.25,0.0,14.98,5.0,36.98,55.0,27.99
SCH0600,Govt. Primary School Sandhu,Amritsar,Ajnala,193,Secondary,English,25,81.9,1,0,0,4.0,0.0,0.0,12,8,71.56,66.67,23,651.8,49974.0,13,5,1,19,68.42,10.0,55.55555555555556,77.77777777777779,90.0,88.88888888888889,11.11111111111111,3.0,0.0,18.1,0.0,28.44,40.0,21.63
SCH0102,Govt. Middle School Kakar,Ludhiana,Ludhiana-Ii,249,Upper Primary,Punjabi,36,81.71,4,2,1,11.11,5.56,2.78,13,7,69.81,53.85,27,643.3,73528.0,14,7,4,25,56.0,4.0,100.0,100.0,66.66666666666666,100.0,66.66666666666666,3.5,1.0,18.29,5.56,30.19,30.0,21.01
SCH0204,Govt. Middle School Singhal,Amritsar,Amritsar-Ii,89,Secondary,Hindi,36,85.0,4,4,4,11.11,11.11,11.11,16,14,67.63,87.5,21,417.6,46739.0,4,10,5,19,21.05,6.0,83.33333333333334,66.66666666666666,100.0,50.0,40.0,3.17,1.0,15.0,11.11,32.37,36.67,23.79
SCH0091,Govt. Middle School Soman,Moga,Nihal Singh Wala,210,Primary,Punjabi,34,82.6,2,2,0,5.88,5.88,0.0,10,7,64.19,70.0,18,358.2,45479.0,12,1,3,16,75.0,2.0,,50.0,100.0,50.0,100.0,2.5,0.0,17.4,5.88,35.81,50.0,27.27
