procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,quantity_kg,quantity_missing,unit_missing,cost_missing,payment_status_missing,quantity_kg_available,cost_invalid,quantity_invalid
MDM000829,2025-05-22,SCH0445,Kumar Supplies,Rice,42.2,KG,1688.0,Paid,42.2,False,False,False,False,True,False,False
MDM009677,2026-01-25,SCH0201,Singh Brothers,Oil,,,5808.0,,,True,True,False,True,False,False,False
MDM004339,2025-05-11,SCH0340,Goyal Enterprises,Oil,0.328,BAG_50KG,1967.0,Paid,16.4,False,False,False,False,True,False,False
MDM007788,2025-05-06,SCH0018,Singh Agro,Oil,1.062,BAG_50KG,6372.0,Pending,53.1,False,False,False,False,True,False,False
MDM008820,2026-01-26,SCH0419,Goyal Enterprises,Wheat,,,474.0,Due,,True,True,False,False,False,False,False
MDM001458,2025-12-29,SCH0216,Sharma & Sons,Wheat,59.6,KG,1788.0,,59.6,False,False,False,True,True,False,False
MDM002665,2025-10-12,SCH0245,Kumar Supplies,Oil,0.382,BAG_50KG,2292.0,,19.1,False,False,False,True,True,False,False
MDM005509,2025-08-03,SCH0023,Kumar Supplies,Dal,,,4608.0,Pending,,True,True,False,False,False,False,False
MDM000750,2025-11-26,SCH0306,Kumar Supplies,Dal,,,3402.0,Paid,,True,True,False,False,False,False,False
MDM006299,2025-11-25,SCH0566,Goyal Mill,Dal,40.0,KG,3600.0,Due,40.0,False,False,False,False,True,False,False
MDM006692,2025-07-16,SCH0476,Singh Agro,Oil,49600.0,GRAM,5952.0,,49.6,False,False,False,True,True,False,False
MDM008599,2025-06-29,SCH0259,S. Agro Works,Dal,35100.0,GRAM,3159.0,Pending,35.1,False,False,False,False,True,False,False
MDM009422,2026-03-12,SCH0187,Goyal Enterprises,Dal,,,4257.0,Paid,,True,True,False,False,False,False,False
MDM004886,2025-07-29,SCH0558,Singh Brothers,Wheat,,,1329.0,Due,,True,True,False,False,False,False,False
MDM011213,2026-03-19,SCH0058,Singh Brothers,Wheat,,,1671.0,Pending,,True,True,False,False,False,False,False
MDM004194,2025-11-29,SCH0292,Goyal Enterprises,Oil,,,2736.0,Pending,,True,True,False,False,False,False,False
MDM008415,2026-02-09,SCH0511,Kumar & Co.,Oil,39200.0,GRAM,4704.0,Due,39.2,False,False,False,False,True,False,False
MDM009246,2025-06-11,SCH0342,Sharma Traders Pvt Ltd,Rice,,,820.0,Paid,,True,True,False,False,False,False,False
MDM007888,2025-10-18,SCH0098,Singh Brothers,Wheat,57.9,KG,1737.0,Paid,57.9,False,False,False,False,True,False,False
MDM009609,2025-04-16,SCH0303,Goyal Mill,Oil,,,2676.0,Pending,,True,True,False,False,False,False,False
MDM010676,2026-03-30,SCH0496,Kumar General Store,Dal,0.274,BAG_50KG,1233.0,Due,13.7,False,False,False,False,True,False,False
MDM011630,2025-10-04,SCH0151,Sharma Traders Pvt Ltd,Oil,36.8,KG,4416.0,Pending,36.8,False,False,False,False,True,False,False
MDM005338,2026-02-25,SCH0547,Singh Agro,Wheat,,,,,,True,True,True,True,False,False,False
MDM007986,2025-08-26,SCH0040,Kumar Supplies,Wheat,,,1731.0,,,True,True,False,True,False,False,False
MDM000294,2026-01-12,SCH0358,Kumar & Co.,Rice,37.7,KG,1508.0,Paid,37.7,False,False,False,False,True,False,False
MDM011862,2025-04-13,SCH0143,Singh Brothers,Oil,,,6828.0,Pending,,True,True,False,False,False,False,False
MDM004314,2025-06-01,SCH0552,Sharma Traders,Dal,,,4941.0,Paid,,True,True,False,False,False,False,False
MDM010212,2025-11-29,SCH0356,S. Agro Works,Oil,0.226,BAG_50KG,1356.0,Pending,11.3,False,False,False,False,True,False,False
MDM004868,2026-01-13,SCH0146,Goyal Rice Mill,Wheat,17400.0,GRAM,522.0,Paid,17.4,False,False,False,False,True,False,False
MDM000312,2026-02-18,SCH0186,S. Agro Works,Dal,,,5004.0,Paid,,True,True,False,False,False,False,False
MDM003317,2026-01-05,SCH0264,Kumar General Store,Wheat,53.2,KG,1596.0,Paid,53.2,False,False,False,False,True,False,False
MDM003586,2025-04-21,SCH0592,Kumar Supplies,Oil,31.8,KG,3816.0,Paid,31.8,False,False,False,False,True,False,False
MDM009379,2025-07-29,SCH0474,Singh Agro,Oil,39.5,KG,4740.0,Paid,39.5,False,False,False,False,True,False,False
MDM000773,2026-02-10,SCH0418,Singh Agro,Oil,29.3,KG,3516.0,Paid,29.3,False,False,False,False,True,False,False
MDM000928,2026-03-18,SCH0265,Goyal Rice Mill,Rice,24.0,KG,960.0,Paid,24.0,False,False,False,False,True,False,False
MDM006158,2025-04-05,SCH0306,Sharma Traders,Wheat,55900.0,GRAM,1677.0,Pending,55.9,False,False,False,False,True,False,False
MDM004954,2025-07-24,SCH0454,Goyal Rice Mill,Atta,1.044,BAG_50KG,1566.0,,52.2,False,False,False,True,True,False,False
MDM005023,2025-11-29,SCH0445,Kumar & Co.,Oil,1.134,BAG_50KG,6804.0,Pending,56.7,False,False,False,False,True,False,False
MDM003892,2025-07-19,SCH0076,Sharma Traders Pvt Ltd,Oil,53.4,KG,,Pending,53.4,False,False,True,False,True,False,False
MDM011857,2025-10-16,SCH0485,Kumar & Co.,Dal,15000.0,GRAM,1350.0,,15.0,False,False,False,True,True,False,False
MDM011989,2025-11-24,SCH0544,Kumar Supplies,Oil,36500.0,GRAM,4380.0,Pending,36.5,False,False,False,False,True,False,False
MDM000305,2025-05-01,SCH0405,Singh Brothers,Rice,,,712.0,Paid,,True,True,False,False,False,False,False
MDM005759,2025-06-23,SCH0397,Goyal Enterprises,Wheat,,,1116.0,Paid,,True,True,False,False,False,False,False
MDM006129,2025-11-24,SCH0561,Kumar General Store,Oil,,,7164.0,Paid,,True,True,False,False,False,False,False
MDM000812,2025-05-06,SCH0589,Singh Brothers,Dal,0.772,BAG_50KG,3474.0,Paid,38.6,False,False,False,False,True,False,False
MDM004094,2025-10-03,SCH0195,Goyal Mill,Oil,,,7008.0,Paid,,True,True,False,False,False,False,False
MDM010724,2025-07-24,SCH0047,S. Agro Works,Dal,0.5,BAG_50KG,2250.0,Pending,25.0,False,False,False,False,True,False,False
MDM003998,2025-07-25,SCH0210,Singh Agro,Rice,0.318,BAG_50KG,636.0,Paid,15.9,False,False,False,False,True,False,False
MDM000248,2025-05-03,SCH0032,Kumar & Co.,Dal,32.6,KG,2934.0,Pending,32.6,False,False,False,False,True,False,False
MDM001618,2026-01-09,SCH0481,Goyal Rice Mill,Atta,0.63,BAG_50KG,945.0,,31.5,False,False,False,True,True,False,False
MDM000201,2025-09-14,SCH0322,Singh Brothers,Wheat,,,1179.0,Paid,,True,True,False,False,False,False,False
MDM004908,2025-05-26,SCH0058,Goyal Enterprises,Rice,23.1,KG,924.0,Paid,23.1,False,False,False,False,True,False,False
MDM010408,2026-02-20,SCH0167,Goyal Rice Mill,Dal,56500.0,GRAM,5085.0,Pending,56.5,False,False,False,False,True,False,False
MDM010543,2026-01-24,SCH0383,Kumar Supplies,Atta,,,1179.0,,,True,True,False,True,False,False,False
MDM004672,2025-05-15,SCH0376,Kumar Supplies,Rice,24.0,KG,960.0,Pending,24.0,False,False,False,False,True,False,False
MDM003488,2026-02-23,SCH0125,Singh Brothers,Oil,,,6312.0,Due,,True,True,False,False,False,False,False
MDM011677,2025-04-13,SCH0387,Singh Brothers,Dal,,,4779.0,Paid,,True,True,False,False,False,False,False
MDM009892,2026-03-22,SCH0074,Singh Agro,Oil,,,6732.0,,,True,True,False,True,False,False,False
MDM009298,2025-05-16,SCH0220,Sharma Traders,Oil,51.1,KG,6132.0,Due,51.1,False,False,False,False,True,False,False
MDM005900,2026-01-31,SCH0514,Kumar General Store,Rice,56.5,KG,,Due,56.5,False,False,True,False,True,False,False
MDM003618,2025-11-18,SCH0304,Goyal Mill,Dal,18.4,KG,1656.0,Paid,18.4,False,False,False,False,True,False,False
MDM003932,2026-12-03,SCH0149,Kumar & Co.,Dal,47700.0,GRAM,4293.0,Paid,47.7,False,False,False,False,True,False,False
MDM009319,2025-11-22,SCH0253,Kumar General Store,Dal,,,1233.0,Paid,,True,True,False,False,False,False,False
MDM003026,2026-01-16,SCH0271,Sharma Traders,Wheat,,,681.0,Paid,,True,True,False,False,False,False,False
MDM004411,2026-03-26,SCH0567,Kumar Supplies,Dal,0.634,BAG_50KG,2853.0,Paid,31.7,False,False,False,False,True,False,False
MDM001189,2025-04-13,SCH0514,Sharma & Sons,Oil,18.2,KG,2184.0,Pending,18.2,False,False,False,False,True,False,False
MDM008016,2025-10-10,SCH0419,Kumar & Co.,Dal,45700.0,GRAM,4113.0,,45.7,False,False,False,True,True,False,False
MDM004442,2025-11-04,SCH0554,Goyal Rice Mill,Oil,30000.0,GRAM,3600.0,Due,30.0,False,False,False,False,True,False,False
MDM010944,2025-10-15,SCH0446,Kumar Supplies,Oil,12.0,KG,1440.0,Paid,12.0,False,False,False,False,True,False,False
MDM002755,2025-05-20,SCH0455,Sharma Traders Pvt Ltd,Rice,48.2,KG,1928.0,,48.2,False,False,False,True,True,False,False
MDM002953,2026-01-22,SCH0467,Goyal Mill,Rice,0.546,BAG_50KG,1092.0,Due,27.3,False,False,False,False,True,False,False
MDM007147,2026-03-06,SCH0001,Kumar General Store,Oil,,,2352.0,,,True,True,False,True,False,False,False
MDM009076,2025-08-21,SCH0535,Goyal Mill,Wheat,,,423.0,Due,,True,True,False,False,False,False,False
MDM008395,2025-05-08,SCH0549,Kumar & Co.,Rice,42800.0,GRAM,1712.0,Pending,42.8,False,False,False,False,True,False,False
MDM006537,2025-08-28,SCH0348,Singh Brothers,Dal,22500.0,GRAM,2025.0,Paid,22.5,False,False,False,False,True,False,False
MDM010629,2025-06-14,SCH0167,Sharma & Sons,Atta,,,888.0,Paid,,True,True,False,False,False,False,False
MDM003873,2025-11-07,SCH0344,Sharma & Sons,Oil,37300.0,GRAM,,Pending,37.3,False,False,True,False,True,False,False
MDM000519,2025-07-07,SCH0406,Kumar Supplies,Wheat,,,597.0,Pending,,True,True,False,False,False,False,False
MDM002022,2025-05-21,SCH0454,Singh Brothers,Oil,23.5,KG,,Due,23.5,False,False,True,False,True,False,False
MDM005166,2025-12-06,SCH0560,Sharma Traders Pvt Ltd,Dal,,,3096.0,Due,,True,True,False,False,False,False,False
MDM005701,2025-06-10,SCH0591,Kumar General Store,Rice,,,1692.0,Due,,True,True,False,False,False,False,False
MDM001384,2025-11-04,SCH0282,Singh Brothers,Wheat,37.7,KG,1131.0,,37.7,False,False,False,True,True,False,False
MDM008377,2026-02-16,SCH0401,Goyal Rice Mill,Rice,29.2,KG,1168.0,Paid,29.2,False,False,False,False,True,False,False
MDM002302,2025-10-12,SCH0439,Singh Brothers,Rice,,,2104.0,Paid,,True,True,False,False,False,False,False
MDM005009,2025-06-21,SCH0522,Sharma Traders Pvt Ltd,Rice,14.0,KG,560.0,Pending,14.0,False,False,False,False,True,False,False
MDM007771,2025-09-26,SCH0451,Goyal Enterprises,Rice,16.4,KG,656.0,Paid,16.4,False,False,False,False,True,False,False
MDM001218,2025-05-05,SCH0524,Sharma & Sons,Wheat,32600.0,GRAM,978.0,Paid,32.6,False,False,False,False,True,False,False
MDM008084,2026-01-10,SCH0551,Goyal Mill,Dal,17.7,KG,1593.0,Paid,17.7,False,False,False,False,True,False,False
MDM001276,2025-10-28,SCH0068,Goyal Enterprises,Oil,26.7,KG,3204.0,,26.7,False,False,False,True,True,False,False
MDM007448,2025-07-15,SCH0497,Singh Agro,Dal,36.3,KG,3267.0,Paid,36.3,False,False,False,False,True,False,False
MDM004280,2025-10-09,SCH0253,S. Agro Works,Wheat,32.2,KG,966.0,Pending,32.2,False,False,False,False,True,False,False
MDM000971,2026-03-20,SCH0266,Goyal Mill,Oil,0.73,BAG_50KG,4380.0,Pending,36.5,False,False,False,False,True,False,False
MDM008150,2025-12-16,SCH0511,Goyal Mill,Dal,56200.0,GRAM,5058.0,Paid,56.2,False,False,False,False,True,False,False
MDM003838,2026-01-20,SCH0594,Kumar & Co.,Rice,13.7,KG,548.0,Pending,13.7,False,False,False,False,True,False,False
MDM008405,2026-02-08,SCH0347,Kumar Supplies,Wheat,,,813.0,,,True,True,False,True,False,False,False
MDM003446,2025-09-26,SCH0090,Kumar General Store,Wheat,41800.0,GRAM,1254.0,Pending,41.8,False,False,False,False,True,False,False
MDM004771,2025-07-09,SCH0585,Goyal Mill,Wheat,54300.0,GRAM,1629.0,Paid,54.3,False,False,False,False,True,False,False
MDM002629,2025-08-24,SCH0300,Sharma Traders,Wheat,0.276,BAG_50KG,414.0,Pending,13.8,False,False,False,False,True,False,False
MDM005768,2025-11-19,SCH0395,Singh Brothers,Dal,1.084,BAG_50KG,4878.0,Pending,54.2,False,False,False,False,True,False,False
MDM007446,2025-09-10,SCH0198,Goyal Mill,Dal,34500.0,GRAM,3105.0,Pending,34.5,False,False,False,False,True,False,False
MDM010963,2026-01-16,SCH0294,Goyal Enterprises,Rice,0.33,BAG_50KG,660.0,Pending,16.5,False,False,False,False,True,False,False
MDM007782,2025-07-08,SCH0170,Kumar General Store,Wheat,,,957.0,Pending,,True,True,False,False,False,False,False
MDM000614,2026-01-22,SCH0291,Kumar General Store,Wheat,,,735.0,Due,,True,True,False,False,False,False,False
MDM003814,2026-03-19,SCH0337,Kumar & Co.,Rice,,,1272.0,Paid,,True,True,False,False,False,False,False
MDM005863,2025-08-01,SCH0021,Sharma Traders,Oil,,,1524.0,,,True,True,False,True,False,False,False
MDM010837,2026-03-04,SCH0550,Goyal Rice Mill,Dal,1.136,BAG_50KG,5112.0,Paid,56.8,False,False,False,False,True,False,False
MDM010150,2026-02-22,SCH0184,Singh Agro,Rice,14.1,KG,564.0,,14.1,False,False,False,True,True,False,False
MDM000430,2025-12-19,SCH0106,Kumar & Co.,Wheat,23.8,KG,714.0,Paid,23.8,False,False,False,False,True,False,False
MDM009129,2026-02-19,SCH0452,Goyal Rice Mill,Dal,,,3078.0,Paid,,True,True,False,False,False,False,False
MDM003080,2025-12-20,SCH0381,Singh Agro,Dal,,,3465.0,Pending,,True,True,False,False,False,False,False
MDM001966,2025-04-16,SCH0588,Goyal Mill,Rice,,,1208.0,,,True,True,False,True,False,False,False
MDM008138,2025-07-25,SCH0228,Singh Agro,Rice,,,1856.0,Pending,,True,True,False,False,False,False,False
MDM006110,2025-05-21,SCH0065,Goyal Enterprises,Dal,0.62,BAG_50KG,2790.0,Pending,31.0,False,False,False,False,True,False,False
MDM001787,2025-08-26,SCH0527,Kumar Supplies,Rice,21.5,KG,860.0,Paid,21.5,False,False,False,False,True,False,False
MDM000397,2025-10-13,SCH0200,Goyal Mill,Oil,0.5720000000000001,BAG_50KG,3432.0,Pending,28.6,False,False,False,False,True,False,False
MDM006921,2025-04-26,SCH0083,Goyal Enterprises,Oil,49700.0,GRAM,5964.0,,49.7,False,False,False,True,True,False,False
MDM007202,2025-10-10,SCH0348,Singh Agro,Rice,19.7,KG,788.0,,19.7,False,False,False,True,True,False,False
MDM006241,2025-10-07,SCH0550,Goyal Mill,Dal,0.9940000000000001,BAG_50KG,4473.0,Due,49.7,False,False,False,False,True,False,False
MDM007898,2025-09-19,SCH0040,Sharma Traders Pvt Ltd,Wheat,,,345.0,Paid,,True,True,False,False,False,False,False
MDM008742,2025-08-10,SCH0178,Goyal Rice Mill,Oil,25.9,KG,3108.0,Pending,25.9,False,False,False,False,True,False,False
MDM011027,2025-08-15,SCH0298,Kumar Supplies,Dal,46.9,KG,4221.0,Due,46.9,False,False,False,False,True,False,False
MDM000748,2026-03-07,SCH0193,Sharma & Sons,Dal,,,1818.0,Paid,,True,True,False,False,False,False,False
MDM004032,2025-05-10,SCH0015,Goyal Mill,Dal,,,3753.0,Pending,,True,True,False,False,False,False,False
MDM001840,2025-06-20,SCH0253,Kumar Supplies,Oil,45.9,KG,5508.0,Due,45.9,False,False,False,False,True,False,False
MDM009241,2025-12-07,SCH0224,Singh Agro,Rice,,,1004.0,Pending,,True,True,False,False,False,False,False
MDM009254,2025-09-24,SCH0232,S. Agro Works,Dal,,,2772.0,Paid,,True,True,False,False,False,False,False
MDM009913,2025-08-08,SCH0311,Goyal Enterprises,Oil,,,6456.0,Pending,,True,True,False,False,False,False,False
MDM003843,2025-02-11,SCH0233,Kumar General Store,Oil,22.5,KG,2700.0,Paid,22.5,False,False,False,False,True,False,False
MDM009141,2026-02-20,SCH0379,Goyal Rice Mill,Rice,19300.0,GRAM,772.0,Paid,19.3,False,False,False,False,True,False,False
MDM005653,2026-02-12,SCH0255,Sharma Traders Pvt Ltd,Dal,,,2439.0,Pending,,True,True,False,False,False,False,False
MDM011077,2025-09-07,SCH0587,Goyal Mill,Oil,42.2,KG,,,42.2,False,False,True,True,True,False,False
MDM005528,2025-12-29,SCH0277,Kumar Supplies,Wheat,49.8,KG,1494.0,Pending,49.8,False,False,False,False,True,False,False
MDM011976,2025-10-10,SCH0008,Singh Brothers,Dal,1.198,BAG_50KG,5391.0,Paid,59.9,False,False,False,False,True,False,False
MDM002772,2025-08-07,SCH0162,Kumar & Co.,Dal,54.7,KG,4923.0,Pending,54.7,False,False,False,False,True,False,False
MDM004388,2025-06-22,SCH0154,S. Agro Works,Rice,,,1056.0,Paid,,True,True,False,False,False,False,False
MDM002902,2026-02-08,SCH0080,Singh Agro,Oil,23500.0,GRAM,2820.0,Paid,23.5,False,False,False,False,True,False,False
MDM002465,2025-07-21,SCH0077,Singh Agro,Dal,,,4770.0,Pending,,True,True,False,False,False,False,False
MDM007700,2026-02-09,SCH0081,Singh Agro,Oil,34.3,KG,4116.0,Pending,34.3,False,False,False,False,True,False,False
MDM007554,2025-04-27,SCH0542,Kumar Supplies,Wheat,33.0,KG,990.0,Pending,33.0,False,False,False,False,True,False,False
MDM001374,2026-01-09,SCH0366,S. Agro Works,Oil,,,5400.0,Pending,,True,True,False,False,False,False,False
MDM009028,2025-10-15,SCH0356,Kumar & Co.,Oil,1.012,BAG_50KG,,Paid,50.6,False,False,True,False,True,False,False
MDM001154,2026-01-18,SCH0221,Sharma Traders,Dal,,,2655.0,Paid,,True,True,False,False,False,False,False
MDM009025,2026-02-23,SCH0548,S. Agro Works,Rice,27.0,KG,1080.0,Pending,27.0,False,False,False,False,True,False,False
MDM003205,2025-06-21,SCH0226,Kumar Supplies,Oil,0.394,BAG_50KG,2364.0,Paid,19.7,False,False,False,False,True,False,False
MDM005008,2025-07-02,SCH0059,Kumar General Store,Rice,37.0,KG,1480.0,Pending,37.0,False,False,False,False,True,False,False
MDM000219,2025-09-26,SCH0517,Singh Agro,Oil,,,6948.0,Paid,,True,True,False,False,False,False,False
MDM001143,2026-01-24,SCH0499,S. Agro Works,Wheat,,,1563.0,Paid,,True,True,False,False,False,False,False
MDM007106,2025-05-06,SCH0102,Sharma Traders Pvt Ltd,Dal,,,5094.0,Pending,,True,True,False,False,False,False,False
MDM011378,2025-08-14,SCH0179,Sharma Traders,Oil,45700.0,GRAM,5484.0,Pending,45.7,False,False,False,False,True,False,False
MDM011113,2026-03-16,SCH0443,Singh Brothers,Rice,30400.0,GRAM,1216.0,Paid,30.4,False,False,False,False,True,False,False
MDM009449,2026-03-16,SCH0372,Singh Agro,Rice,0.39,BAG_50KG,780.0,Pending,19.5,False,False,False,False,True,False,False
MDM007601,2026-02-06,SCH0504,Sharma & Sons,Rice,0.7959999999999999,BAG_50KG,1592.0,Paid,39.8,False,False,False,False,True,False,False
MDM011139,2026-02-18,SCH0020,Sharma Traders,Dal,31100.0,GRAM,2799.0,Paid,31.1,False,False,False,False,True,False,False
MDM004336,2026-01-11,SCH0079,Sharma & Sons,Dal,,,2961.0,Due,,True,True,False,False,False,False,False
MDM005400,2025-05-05,SCH0041,Goyal Mill,Oil,54.0,KG,,Due,54.0,False,False,True,False,True,False,False
MDM010937,2025-07-27,SCH0239,Goyal Rice Mill,Rice,,,1012.0,Paid,,True,True,False,False,False,False,False
MDM008996,2025-06-09,SCH0203,Sharma Traders,Wheat,0.912,BAG_50KG,1368.0,Paid,45.6,False,False,False,False,True,False,False
MDM007616,2025-07-30,SCH0564,Goyal Enterprises,Dal,34500.0,GRAM,3105.0,Paid,34.5,False,False,False,False,True,False,False
MDM001714,2026-01-06,SCH0589,Kumar Supplies,Wheat,,,,Paid,,True,True,True,False,False,False,False
MDM008244,2025-09-11,SCH0595,Goyal Mill,Atta,0.502,BAG_50KG,753.0,Pending,25.1,False,False,False,False,True,False,False
MDM009279,2025-07-26,SCH0384,Singh Brothers,Oil,22000.0,GRAM,2640.0,Paid,22.0,False,False,False,False,True,False,False
MDM002334,2025-12-12,SCH0318,Kumar & Co.,Dal,,,2466.0,Paid,,True,True,False,False,False,False,False
MDM008876,2025-04-18,SCH0144,S. Agro Works,Wheat,,,510.0,Pending,,True,True,False,False,False,False,False
MDM011298,2025-04-13,SCH0574,Sharma & Sons,Wheat,0.348,BAG_50KG,522.0,Pending,17.4,False,False,False,False,True,False,False
MDM006621,2025-07-26,SCH0150,S. Agro Works,Rice,24500.0,GRAM,980.0,Paid,24.5,False,False,False,False,True,False,False
MDM002565,2025-11-10,SCH0259,Singh Brothers,Rice,38.7,KG,1548.0,,38.7,False,False,False,True,True,False,False
MDM010508,2025-04-12,SCH0578,Sharma Traders Pvt Ltd,Oil,,,4824.0,Paid,,True,True,False,False,False,False,False
MDM003795,2025-09-05,SCH0595,Goyal Rice Mill,Wheat,51800.0,GRAM,1554.0,Pending,51.8,False,False,False,False,True,False,False
MDM006302,2025-10-29,SCH0225,Singh Agro,Rice,,,,Paid,,True,True,True,False,False,False,False
MDM010965,2025-06-29,SCH0222,Sharma & Sons,Rice,25800.0,GRAM,1032.0,Pending,25.8,False,False,False,False,True,False,False
MDM006190,2025-12-27,SCH0155,Kumar General Store,Oil,,,5184.0,Paid,,True,True,False,False,False,False,False
MDM003753,2025-09-11,SCH0343,Goyal Rice Mill,Rice,0.56,BAG_50KG,1120.0,,28.0,False,False,False,True,True,False,False
MDM008526,2025-07-26,SCH0327,Singh Agro,Rice,,,1012.0,Paid,,True,True,False,False,False,False,False
MDM006703,2025-12-27,SCH0168,Sharma Traders,Dal,53300.0,GRAM,4797.0,Paid,53.3,False,False,False,False,True,False,False
MDM004101,2025-08-24,SCH0056,Singh Brothers,Oil,16.5,KG,1980.0,Paid,16.5,False,False,False,False,True,False,False
MDM000136,2026-01-13,SCH0206,Sharma Traders Pvt Ltd,Oil,55.9,KG,6708.0,Paid,55.9,False,False,False,False,True,False,False
MDM011912,2025-04-26,SCH0561,Kumar Supplies,Dal,49.6,KG,4464.0,Paid,49.6,False,False,False,False,True,False,False
MDM008652,2026-01-24,SCH0496,Sharma Traders Pvt Ltd,Oil,,,1272.0,Pending,,True,True,False,False,False,False,False
MDM000980,2025-05-13,SCH0562,Sharma Traders Pvt Ltd,Atta,,,,Paid,,True,True,True,False,False,False,False
